Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_RW_LowFRW_LF1_desvan.png,hit,1,49527,2,110758,1,17036,2,0,17000
Picture,2_RW_LowFRW_LF1_chivo.png,hit,1,13150,2,165374,1,13429,2,0,17000
Picture,3_PWPW_LF1_butaca.png,hit,2,10111,2,183613,1,10222,2,0,17000
Picture,5_RW_LowFRW_LF1_umbral.png,hit,1,7538,2,198746,1,7816,2,0,17000
Picture,6_CSCS_LF1_cuenco.png,hit,2,8671,2,211373,1,8919,2,0,17000
Picture,9_PWPW_HF1_cielo.png,incorrect,1,7902,2,225102,1,8017,2,0,17000
Picture,10_PWPW_HF1_feliz.png,incorrect,1,9133,3,238030,1,9219,2,0,17000
Picture,11_PWPW_HF1_grande.png,incorrect,1,6743,2,252260,1,6815,2,0,17000
Picture,13_PWPW_LF1_higos.png,hit,2,6038,2,264085,1,6314,2,0,17000
Picture,14_PWPW_HF1_abuelo.png,hit,2,8834,2,275209,1,9019,2,0,17000
Picture,15_RW_HighFRW_HF1_partir.png,hit,1,5944,2,289139,1,6113,2,0,17000
Picture,16_RW_HighFRW_HF1_feliz.png,hit,1,5721,2,300162,1,5813,2,0,17000
Picture,17_RW_HighFRW_HF1_rapido.png,hit,1,5536,2,310986,1,5712,2,0,17000
Picture,18_CSCS_HF1_ganar.png,hit,2,5474,2,321608,1,5712,2,0,17000
Picture,19_RW_HighFRW_HF1_color.png,hit,1,5431,2,332131,1,5712,2,0,17000
Picture,20_PWPW_LF1_alumna.png,hit,2,5149,2,342653,1,5412,2,0,17000
Picture,21_PWPW_HF1_ganar.png,hit,2,6687,2,352875,1,6815,2,0,17000
Picture,23_CSCS_HF1_lucha.png,hit,2,5522,2,364600,1,5712,2,0,17000
Picture,24_PWPW_HF1_cambio.png,incorrect,1,5538,2,375223,1,5612,2,0,17000
Picture,26_RW_HighFRW_HF1_saber.png,hit,1,5715,2,385846,1,5812,2,0,17000
Picture,27_PWPW_HF1_entrar.png,hit,2,5953,2,396568,1,6013,2,0,17000
Picture,28_PWPW_LF1_vejez.png,hit,2,5489,2,407592,1,5612,2,0,17000
Picture,29_PWPW_HF1_salida.png,hit,2,7526,2,418115,1,7716,2,0,17000
Picture,30_RW_HighFRW_HF1_cerca.png,hit,1,5618,3,430742,1,5712,2,0,17000
Picture,31_PWPW_HF1_puesto.png,hit,2,7056,3,441464,1,7316,2,0,17000
Picture,32_RW_LowFRW_LF1_rasgo.png,hit,1,5810,2,453590,1,5913,2,0,17000
Picture,33_RW_HighFRW_HF1_ruido.png,hit,1,6267,3,464413,2,6514,3,0,17000
Picture,34_PWPW_HF1_valor.png,hit,2,5342,2,475738,1,5511,3,0,17000
Picture,35_PWPW_HF1_unidad.png,hit,2,4840,2,486160,1,5011,2,0,17000
Picture,36_CSCS_HF1_partir.png,hit,2,4678,3,496081,1,4810,2,0,17000
Picture,37_RW_LowFRW_LF1_hachis.png,hit,1,5278,2,505802,1,5512,2,0,17000
Picture,38_PWPW_LF1_cactus.png,hit,2,5035,3,516124,1,5111,2,0,17000
Picture,39_PWPW_HF1_vuelto.png,hit,2,5873,2,526246,1,6113,2,0,17000
Picture,40_RW_LowFRW_LF1_verja.png,hit,1,5350,2,537169,1,5612,2,0,17000
Picture,41_RW_HighFRW_HF1_verdad.png,hit,1,4768,2,547591,1,4811,2,0,17000
Picture,42_RW_LowFRW_LF1_astros.png,hit,1,5267,2,557412,1,5312,2,0,17000
Picture,43_RW_HighFRW_HF1_viejo.png,hit,1,4705,2,567734,1,4811,2,0,17000
Picture,44_RW_LowFRW_LF1_cuenca.png,hit,1,5063,3,577455,1,5311,2,0,17000
Picture,45_PWPW_HF1_carino.png,hit,2,6461,2,587577,1,6614,2,0,17000
Picture,46_PWPW_HF1_sucede.png,hit,2,5657,2,599101,1,5913,2,0,17000
Picture,47_RW_HighFRW_HF1_abuelo.png,hit,1,4774,2,609824,1,5011,2,0,17000
Picture,48_PWPW_HF1_semana.png,hit,2,4713,2,619645,1,5011,2,0,17000
Picture,49_PWPW_LF1_ceniza.png,hit,2,6832,2,629366,1,6915,2,0,17000
Picture,50_PWPW_HF1_llevar.png,hit,2,5945,3,641292,1,6012,2,0,17000
