Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_PWPW_HF1_llevo.png,hit,2,12761,2,167880,1,12828,2,0,17000
Picture,2_PWPW_HF1_imagen.png,hit,2,14603,3,185718,2,14732,3,0,17000
Picture,3_PWPW_HF1_semana.png,hit,2,7119,3,205361,1,7215,2,0,17000
Picture,4_CSCS_LF1_sastre.png,hit,2,5394,4,217486,2,5512,3,0,17000
Picture,6_CSCS_LF1_quicio.png,hit,2,4811,3,227909,1,4910,2,0,17000
Picture,7_CSCS_LF1_cuenca.png,hit,2,4030,3,237730,1,4109,2,0,17000
Picture,8_PWPW_HF1_unidad.png,hit,2,3551,2,246849,1,3608,2,0,17000
Picture,9_CSCS_HF1_rapido.png,hit,2,4292,2,255468,1,4409,2,0,17000
Picture,11_PWPW_HF1_lluvia.png,incorrect,1,7612,2,264788,1,7716,2,0,17000
Picture,13_CSCS_HF1_lucha.png,hit,2,4345,2,277415,1,4409,2,0,17000
Picture,14_PWPW_HF1_abuelo.png,hit,2,7405,2,286835,1,7516,2,0,17000
Picture,15_PWPW_LF1_danes.png,hit,2,11777,3,299262,1,11825,2,0,17000
Picture,16_PWPW_HF1_chica.png,hit,2,7901,3,316098,1,8017,2,0,17000
Picture,17_CSCS_HF1_imagen.png,hit,2,4174,2,329025,1,4209,2,0,17000
Picture,20_RW_LowFRW_LF1_chivo.png,incorrect,2,4474,2,338245,1,4510,2,0,17000
Picture,21_CSCS_LF1_telon.png,hit,2,5594,2,347765,1,5713,2,0,17000
Picture,22_CSCS_HF1_accion.png,hit,2,4811,2,358388,1,4911,2,0,17000
Picture,23_CSCS_HF1_saber.png,hit,2,4990,2,368209,1,5111,2,0,17000
Picture,24_RW_LowFRW_LF1_minero.png,hit,1,4888,2,378231,1,5010,2,0,17000
Picture,25_PWPW_HF1_llego.png,hit,2,8807,2,388152,1,8919,2,0,17000
Picture,27_RW_HighFRW_HF1_resto.png,hit,1,6096,3,401982,1,6213,2,0,17000
Picture,28_RW_HighFRW_HF1_saber.png,hit,1,6093,2,413105,1,6214,2,0,17000
Picture,29_PWPW_HF1_medida.png,hit,2,12169,2,424229,1,12226,2,0,17000
Picture,31_PWPW_HF1_pedido.png,hit,2,9572,2,441466,1,9621,2,0,17000
Picture,32_CSCS_LF1_clero.png,hit,2,5421,2,456097,1,5512,2,0,17000
Picture,34_PWPW_HF1_dejar.png,hit,2,7618,2,466620,1,7716,2,0,17000
