Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_PWPW_HF2_origen.png,hit,2,21196,2,814665,1,17036,2,0,17000
Picture,2_PWPW_LF2_chofer.png,hit,2,12940,2,840921,1,13529,2,0,17000
Picture,5_PWPW_HF2_bosque.png,hit,2,10580,2,858960,1,11124,2,0,17000
Picture,8_CSCS_HF2_motivo.png,hit,2,8387,2,874593,1,8719,2,0,17000
Picture,9_RW_HighFRW_HF2_calor.png,hit,1,5438,2,888022,1,5913,2,0,17000
Picture,10_CSCS_HF2_amigo.png,hit,2,4756,3,898544,2,5011,3,0,17000
Picture,11_CSCS_HF2_noche.png,hit,2,5094,2,908366,1,5411,2,0,17000
Picture,12_PWPW_HF2_hijo.png,hit,2,9133,2,918487,1,9220,2,0,17000
Picture,13_PWPW_HF2_ingles.png,hit,2,6981,3,932718,1,7516,2,0,17000
Picture,14_RW_LowFRW_LF2_utopia.png,hit,1,5837,2,944743,1,6214,2,0,17000
Picture,16_RW_HighFRW_HF2_noche.png,hit,1,6032,2,955667,1,6313,2,0,17000
Picture,17_RW_HighFRW_HF2_piel.png,hit,1,4508,2,966791,1,5111,2,0,17000
Picture,20_CSCS_LF2_alcoba.png,hit,2,5468,2,976311,1,5812,2,0,17000
Picture,21_RW_HighFRW_HF2_dinero.png,hit,1,5185,2,986834,1,5311,2,0,17000
Picture,22_RW_HighFRW_HF2_salir.png,hit,1,5684,2,997055,1,6214,2,0,17000
Picture,23_PWPW_HF2_tocar.png,hit,2,9361,2,1007778,1,9521,2,0,17000
Picture,24_RW_HighFRW_HF2_quedar.png,hit,1,6130,2,1022209,1,6514,2,0,17000
Picture,25_CSCS_HF2_ganas.png,hit,2,5705,3,1033433,1,5813,2,0,17000
Picture,26_RW_HighFRW_HF2_salvar.png,hit,1,6502,3,1044156,1,6815,2,0,17000
Picture,27_PWPW_HF2_piel.png,hit,2,7857,2,1055681,1,8117,2,0,17000
Picture,28_RW_LowFRW_LF2_hiedra.png,hit,1,6209,2,1068609,1,6614,2,0,17000
Picture,29_PWPW_HF2_anoche.png,hit,2,9385,2,1079833,1,9520,2,0,17000
Picture,30_PWPW_LF2_hebreo.png,hit,2,6954,2,1094264,1,7315,2,0,17000
Picture,31_RW_HighFRW_HF2_viste.png,hit,1,8208,3,1106289,1,8418,2,0,17000
Picture,32_PWPW_LF2_capote.png,hit,2,9619,3,1119518,1,10021,2,0,17000
Picture,33_RW_LowFRW_LF2_cerco.png,hit,1,6908,2,1134149,1,7115,2,0,17000
