Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_RW_HighFRW_HF2_llama.png,hit,1,20905,2,184416,1,17036,2,0,17000
Picture,2_CSCS_HF2_contar.png,hit,2,8310,2,210371,1,8418,2,0,17000
Picture,4_RW_LowFRW_LF2_optar.png,hit,1,6422,3,223699,2,6615,3,0,17000
Picture,5_PWPW_LF2_grosor.png,hit,2,9216,4,235224,2,9320,3,0,17000
Picture,6_PWPW_LF2_guino.png,hit,2,7465,2,249455,1,7516,2,0,17000
Picture,7_CSCS_HF2_creer.png,hit,2,6458,2,261982,1,6614,2,0,17000
Picture,8_RW_HighFRW_HF2_detras.png,hit,1,6774,3,273506,2,7015,4,0,17000
Picture,10_PWPW_LF2_capote.png,hit,2,7908,2,285332,1,8117,2,0,17000
Picture,11_CSCS_HF2_ganas.png,hit,2,5301,3,298259,2,5512,3,0,17000
Picture,12_CSCS_LF2_cursi.png,hit,2,5058,2,308582,1,5211,2,0,17000
Picture,14_PWPW_HF2_camara.png,hit,2,6936,3,318703,1,7115,3,0,17000
Picture,15_PWPW_LF2_dorso.png,hit,2,5630,3,330729,1,5913,2,0,17000
Picture,17_PWPW_HF2_marcha.png,incorrect,1,9867,3,341452,1,10122,2,0,17000
Picture,18_RW_HighFRW_HF2_creer.png,hit,1,7095,2,356384,1,7215,2,0,17000
Picture,19_CSCS_LF2_mascar.png,hit,2,5209,2,368510,1,5311,2,0,17000
Picture,20_RW_LowFRW_LF2_trecho.png,hit,1,8747,2,378732,1,9019,2,0,17000
Picture,21_PWPW_HF2_viste.png,hit,2,6838,2,392561,1,7015,2,0,17000
Picture,22_RW_HighFRW_HF2_comida.png,hit,1,6032,2,404487,1,6213,2,0,17000
Picture,23_RW_HighFRW_HF2_marcha.png,hit,1,5547,3,415611,1,5712,2,0,17000
Picture,24_PWPW_HF2_sangre.png,hit,2,8924,3,426234,1,9119,2,0,17000
Picture,25_RW_LowFRW_LF2_arder.png,hit,1,7054,2,440264,1,7215,2,0,17000
Picture,26_PWPW_HF2_creer.png,hit,2,8128,2,452390,1,8317,2,0,17000
Picture,27_PWPW_LF2_gitana.png,hit,2,6020,2,465618,1,6213,2,0,17000
Picture,28_PWPW_HF2_salir.png,hit,2,7536,2,476742,1,7616,2,0,17000
Picture,29_RW_LowFRW_LF2_capote.png,hit,1,6749,2,489369,1,7015,2,0,17000
Picture,30_PWPW_HF2_ayuda.png,hit,2,6444,2,501194,1,6614,2,0,17000
Picture,32_PWPW_HF2_fuerza.png,hit,2,7958,3,512719,1,8117,2,0,17000
Picture,34_RW_LowFRW_LF2_cocido.png,hit,1,6130,3,525747,1,6413,2,0,17000
Picture,36_PWPW_LF2_liar.png,hit,2,6586,2,536971,1,6714,2,0,17000
Picture,38_RW_LowFRW_LF2_hebreo.png,hit,1,6961,2,548596,1,7115,2,0,17000
Picture,39_RW_LowFRW_LF2_sereno.png,incorrect,2,5176,2,560621,1,5312,2,0,17000
Picture,40_CSCS_LF2_puas.png,hit,2,5194,2,570843,1,5412,2,0,17000
Picture,41_RW_HighFRW_HF2_sombra.png,hit,1,5052,2,581065,1,5311,2,0,17000
Picture,42_RW_LowFRW_LF2_trepar.png,hit,1,5330,2,591187,1,5411,2,0,17000
Picture,43_PWPW_LF2_fundar.png,hit,2,5707,3,601609,1,5813,2,0,17000
Picture,44_CSCS_LF2_soplo.png,hit,2,4584,2,612332,1,4710,2,0,17000
Picture,45_RW_HighFRW_HF2_viste.png,hit,1,6163,2,621953,1,6213,2,0,17000
Picture,46_RW_HighFRW_HF2_tocar.png,hit,1,5819,2,633177,1,6013,2,0,17000
Picture,47_PWPW_HF2_calor.png,hit,2,6976,2,644100,1,7115,2,0,17000
Picture,48_PWPW_LF2_cerco.png,hit,2,5430,2,656126,1,5512,2,0,17000
Picture,49_CSCS_LF2_biceps.png,hit,2,4188,2,666648,1,4310,2,0,17000
Picture,50_RW_HighFRW_HF2_ciudad.png,hit,1,5128,2,675868,1,5311,3,0,17000
