Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_CSCS_LF2_capote.png,hit,2,20424,2,51832,1,17037,2,0,17000
Picture,2_RW_HighFRW_HF2_casado.png,hit,1,8409,2,77287,1,8718,2,0,17000
Picture,3_PWPW_HF2_dinero.png,hit,2,9461,3,90715,2,9521,3,0,17000
Picture,4_PWPW_HF2_marcha.png,hit,2,7329,2,105247,1,7516,2,0,17000
Picture,5_RW_HighFRW_HF2_buscar.png,hit,1,8263,2,117673,1,8519,2,0,17000
Picture,6_CSCS_LF2_naipes.png,hit,2,6934,2,131002,1,7115,2,0,17000
Picture,7_RW_LowFRW_LF2_manojo.png,incorrect,2,7627,3,143028,1,7816,3,0,17000
Picture,8_PWPW_LF2_fundar.png,hit,2,12580,3,155755,1,12627,2,0,17000
Picture,9_RW_LowFRW_LF2_reja.png,hit,1,19342,3,173393,1,17036,2,0,17000
Picture,10_RW_LowFRW_LF2_prior.png,incorrect,2,8750,2,197745,1,9019,2,0,17000
Picture,11_PWPW_LF2_antojo.png,hit,2,11320,2,211575,1,11424,2,0,17000
Picture,12_RW_LowFRW_LF2_utopia.png,incorrect,2,7705,2,227910,1,7816,3,0,17000
Picture,13_PWPW_HF2_manos.png,hit,2,10578,2,240637,1,10723,2,0,17000
Picture,14_PWPW_HF2_calor.png,hit,2,10144,2,256271,1,10322,2,0,17000
Picture,15_RW_HighFRW_HF2_nino.png,hit,1,7312,2,271503,1,7416,2,0,17000
Picture,16_CSCS_LF2_compas.png,hit,2,9064,3,283830,1,9320,2,0,17000
Picture,17_RW_LowFRW_LF2_mascar.png,hit,1,9894,3,297960,1,10021,3,0,17000
Picture,18_RW_HighFRW_HF2_ayudar.png,hit,1,6402,2,312892,1,6514,2,0,17000
Picture,19_RW_LowFRW_LF2_parir.png,hit,1,7857,2,324317,1,7916,3,0,17000
Picture,20_RW_HighFRW_HF2_ingles.png,hit,1,7490,2,337244,1,7717,2,0,17000
Picture,21_PWPW_LF2_cerco.png,hit,2,10003,2,349771,1,10122,2,0,17000
Picture,22_PWPW_HF2_origen.png,hit,2,10971,2,364803,1,11124,2,0,17000
Picture,23_RW_LowFRW_LF2_cobro.png,hit,1,13416,2,380838,1,13529,2,0,17000
Picture,24_RW_HighFRW_HF2_noche.png,hit,1,7137,2,399277,1,7216,2,0,17000
Picture,25_RW_LowFRW_LF2_clamor.png,hit,1,8270,2,411504,1,8418,2,0,17000
Picture,26_CSCS_LF2_ropero.png,hit,2,6622,2,424832,1,6715,2,0,17000
Picture,27_PWPW_HF2_campo.png,hit,2,7297,2,436557,1,7516,2,0,17000
Picture,29_RW_HighFRW_HF2_motivo.png,hit,1,7769,3,448884,1,8017,2,0,17000
Picture,30_PWPW_HF2_tierra.png,hit,2,10942,3,461711,1,11124,2,0,17000
Picture,32_PWPW_LF2_romero.png,incorrect,1,9307,2,477746,1,9420,2,0,17000
Picture,33_RW_LowFRW_LF2_capote.png,hit,1,10897,2,492076,1,11124,2,0,17000
Picture,34_PWPW_HF2_salud.png,hit,2,8162,2,508011,1,8217,2,0,17000
Picture,35_PWPW_HF2_monton.png,hit,2,9734,2,521239,1,9921,2,0,17000
Picture,36_PWPW_LF2_hebreo.png,hit,2,15462,2,536071,1,15533,2,0,17000
Picture,37_RW_HighFRW_HF2_prensa.png,hit,1,8118,2,556615,1,8318,2,0,17000
Picture,38_RW_HighFRW_HF2_juego.png,hit,1,6909,3,569743,1,7115,2,0,17000
Picture,39_CSCS_LF2_jazmin.png,hit,2,6823,3,581669,1,6914,2,0,17000
Picture,40_PWPW_LF2_vello.png,hit,2,10338,3,593594,1,10423,2,0,17000
Picture,41_PWPW_LF2_posar.png,hit,2,12425,2,609027,1,12627,2,0,17000
Picture,42_CSCS_LF2_verso.png,hit,2,8507,2,626465,1,8618,2,0,17000
Picture,43_PWPW_HF2_viste.png,hit,2,16658,2,639994,1,16836,2,0,17000
Picture,44_CSCS_HF2_creer.png,hit,2,9632,2,661740,1,9821,2,0,17000
Picture,46_RW_LowFRW_LF2_cursi.png,hit,1,11940,2,676472,1,12226,2,0,17000
Picture,47_PWPW_LF2_alcoba.png,incorrect,1,35223,4,693508,2,17037,3,0,17000
Picture,49_PWPW_LF2_menton.png,hit,2,11496,3,733795,1,11725,2,0,17000
Picture,50_RW_LowFRW_LF2_cobijo.png,incorrect,2,7841,2,750330,1,8018,2,0,17000
Picture,52_RW_HighFRW_HF2_evitar.png,hit,1,9713,2,763258,1,9921,2,0,17000
Picture,53_PWPW_LF2_liebre.png,hit,2,11861,2,777990,1,12025,3,0,17000
Picture,54_RW_LowFRW_LF2_arder.png,hit,1,8125,2,794926,1,8318,2,0,17000
