Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_PWPW_HF1_perder.png,incorrect,3,55031,2,143427,1,17036,2,0,17000
Picture,2_PWPW_HF1_vuelto.png,incorrect,1,10992,2,282825,1,11224,2,0,17000
Picture,3_RW_HighFRW_HF1_cielo.png,incorrect,2,6157,3,298859,1,6314,2,0,17000
Picture,4_PWPW_HF1_bailar.png,incorrect,1,7173,3,310083,1,7316,2,0,17000
Picture,5_PWPW_HF1_calle.png,incorrect,1,6387,2,322309,1,6514,2,0,17000
Picture,6_CSCS_HF1_accion.png,incorrect,1,5202,2,333734,1,5311,2,0,17000
Picture,7_CSCS_LF1_clero.png,incorrect,1,4500,2,343956,1,4609,2,0,17000
Picture,8_CSCS_LF1_censo.png,incorrect,1,4180,2,353476,1,4309,2,0,17000
Picture,10_PWPW_HF1_camino.png,hit,2,5440,2,362696,1,5712,2,0,17000
Picture,11_PWPW_HF1_valor.png,incorrect,1,7477,3,373218,1,7616,2,0,17000
Picture,12_RW_HighFRW_HF1_morir.png,incorrect,2,7750,2,385745,1,7917,2,0,17000
Picture,13_PWPW_HF1_pedido.png,incorrect,1,7883,2,398572,1,8017,2,0,17000
Picture,14_RW_LowFRW_LF1_prever.png,incorrect,2,6235,2,411500,1,6414,2,0,17000
Picture,15_PWPW_LF1_rasgo.png,incorrect,1,6911,2,422824,1,7115,2,0,17000
Picture,16_CSCS_LF1_cuenca.png,incorrect,1,5224,3,434750,1,5311,2,0,17000
Picture,17_RW_LowFRW_LF1_copiar.png,incorrect,2,6342,3,445072,1,6614,2,0,17000
Picture,18_RW_LowFRW_LF1_oirse.png,incorrect,2,5798,3,456496,1,6013,2,0,17000
Picture,19_RW_HighFRW_HF1_tomar.png,incorrect,2,5375,2,467319,1,5612,2,0,17000
Picture,21_PWPW_HF1_seguir.png,incorrect,1,6793,2,477741,1,6915,2,0,17000
Picture,22_CSCS_LF1_encias.png,hit,2,5687,2,489567,1,5812,2,0,17000
Picture,23_RW_HighFRW_HF1_piensa.png,incorrect,2,5043,3,500290,1,5211,2,0,17000
Picture,25_RW_HighFRW_HF1_feliz.png,incorrect,2,5163,2,510411,1,5312,2,0,17000
Picture,26_PWPW_LF1_sastre.png,hit,2,6620,3,520633,1,6714,3,0,17000
Picture,27_CSCS_LF1_vasija.png,incorrect,1,4575,2,532358,1,4710,2,0,17000
Picture,28_RW_HighFRW_HF1_llevar.png,incorrect,2,5034,2,541979,1,5211,2,0,17000
Picture,29_PWPW_HF1_llego.png,incorrect,1,6273,2,552100,1,6414,2,0,17000
Picture,30_CSCS_LF1_reptil.png,hit,2,5508,2,563425,1,5612,2,0,17000
Picture,31_RW_HighFRW_HF1_rapido.png,incorrect,2,7226,2,573947,1,7516,2,0,17000
Picture,32_PWPW_LF1_suegra.png,incorrect,1,7059,2,586273,1,7216,2,0,17000
Picture,33_PWPW_HF1_padre.png,incorrect,1,7253,2,598399,1,7416,2,0,17000
Picture,34_CSCS_HF1_carcel.png,incorrect,1,5326,2,610726,1,5511,2,0,17000
Picture,36_PWPW_LF1_cauce.png,incorrect,1,7144,2,621148,1,7416,2,0,17000
Picture,37_RW_LowFRW_LF1_verja.png,incorrect,2,8598,2,633374,1,8819,2,0,17000
Picture,38_PWPW_LF1_cuenco.png,incorrect,1,9208,3,647003,1,9320,2,0,17000
Picture,39_RW_HighFRW_HF1_verdad.png,incorrect,2,6257,3,661234,1,6514,2,0,17000
Picture,40_RW_LowFRW_LF1_cogida.png,incorrect,2,6773,2,672558,1,6915,2,0,17000
Picture,41_PWPW_HF1_nombre.png,incorrect,1,5908,2,684383,1,6013,2,0,17000
Picture,42_PWPW_LF1_nocion.png,incorrect,1,6265,2,695306,1,6414,2,0,17000
Picture,44_RW_LowFRW_LF1_reptil.png,incorrect,2,7020,2,706631,1,7215,2,0,17000
Picture,45_CSCS_HF1_perder.png,incorrect,1,4914,3,718656,1,5011,2,0,17000
Picture,46_RW_HighFRW_HF1_ruido.png,incorrect,2,4672,2,728578,1,4810,2,0,17000
Picture,47_PWPW_HF1_feliz.png,hit,2,5192,3,738298,2,5312,3,0,17000
Picture,48_RW_LowFRW_LF1_copos.png,incorrect,2,8250,2,748520,1,8418,2,0,17000
Picture,49_PWPW_HF1_llevo.png,incorrect,1,9161,2,761849,1,9320,2,0,17000
Picture,50_CSCS_HF1_ultimo.png,incorrect,1,5411,2,776079,1,5512,2,0,17000
Picture,51_PWPW_HF1_verano.png,hit,2,5309,2,786501,1,5512,2,0,17000
Picture,52_CSCS_LF1_consul.png,incorrect,1,4506,3,796823,1,4710,2,0,17000
Picture,54_CSCS_LF1_cuenco.png,incorrect,1,4265,3,806344,1,4509,2,0,17000
Picture,55_PWPW_HF1_cambio.png,incorrect,1,7905,2,815664,1,8217,2,0,17000
Picture,56_RW_LowFRW_LF1_lucro.png,incorrect,2,8018,2,828591,1,8218,2,0,17000
Picture,58_PWPW_LF1_sequia.png,incorrect,1,7870,2,841619,1,8017,2,0,17000
Picture,59_RW_LowFRW_LF1_zombi.png,incorrect,2,6701,3,854547,1,6814,2,0,17000
Picture,60_CSCS_LF1_verja.png,incorrect,1,5056,3,866272,1,5211,2,0,17000
Picture,61_PWPW_HF1_negro.png,incorrect,1,6775,2,876393,1,6915,2,0,17000
Picture,62_CSCS_LF1_obrero.png,incorrect,1,4709,2,888219,1,4910,2,0,17000
Picture,63_RW_LowFRW_LF1_ceniza.png,incorrect,2,6189,3,897939,2,6414,3,0,17000
Picture,64_RW_HighFRW_HF1_avion.png,hit,1,5285,2,909163,1,5512,2,0,17000
Picture,66_PWPW_HF1_color.png,incorrect,1,8241,3,919486,1,8317,2,0,17000
Picture,67_PWPW_LF1_vereda.png,incorrect,1,12833,2,932814,1,13028,2,0,17000
