Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_PWPW_HF1_semana.png,hit,2,11281,2,85905,1,11625,2,0,17000
Picture,2_CSCS_LF1_cordon.png,hit,2,5666,2,102240,1,5712,2,0,17000
Picture,4_CSCS_LF1_coyote.png,hit,2,9343,2,112963,1,9520,2,0,17000
Picture,5_RW_HighFRW_HF1_leche.png,hit,1,6911,3,127394,1,7215,2,0,17000
Picture,6_RW_LowFRW_LF1_ceder.png,hit,1,6666,2,139319,1,7115,2,0,17000
Picture,7_PWPW_HF1_accion.png,hit,2,8221,2,151044,1,8619,2,0,17000
Picture,8_RW_LowFRW_LF1_quicio.png,hit,1,7792,2,164273,1,8017,2,0,17000
Picture,9_CSCS_HF1_negro.png,hit,2,5205,2,177100,1,5512,2,0,17000
Picture,10_RW_LowFRW_LF1_apice.png,hit,1,6983,2,187322,1,7115,2,0,17000
Picture,11_CSCS_HF1_chica.png,hit,2,5197,2,199348,1,5411,2,0,17000
Picture,12_RW_LowFRW_LF1_copos.png,hit,1,5694,3,209570,1,5912,2,0,17000
Picture,13_PWPW_HF1_bailar.png,hit,2,6572,4,220292,2,6915,3,0,17000
Picture,14_PWPW_HF1_pedido.png,hit,2,8547,2,231917,1,8619,2,0,17000
Picture,15_RW_LowFRW_LF1_cuenco.png,hit,1,6117,2,245547,1,6213,2,0,17000
Picture,16_CSCS_HF1_ambos.png,hit,2,4834,2,256670,1,5111,2,0,17000
Picture,18_PWPW_HF1_grande.png,hit,2,6272,2,266592,1,6514,2,0,17000
Picture,19_PWPW_HF1_siente.png,incorrect,1,9188,2,277916,1,9320,2,0,17000
Picture,21_RW_LowFRW_LF1_sequia.png,hit,1,5758,2,292146,1,6013,2,0,17000
Picture,23_RW_HighFRW_HF1_marido.png,hit,1,5094,3,302969,2,5412,3,0,17000
Picture,24_CSCS_LF1_carmin.png,hit,2,5053,2,313091,1,5312,2,0,17000
Picture,25_RW_LowFRW_LF1_colmo.png,hit,1,6050,3,323213,1,6313,2,0,17000
Picture,27_PWPW_LF1_rasgo.png,hit,2,6126,2,334337,1,6213,2,0,17000
Picture,28_CSCS_LF1_grueso.png,hit,2,5142,2,345561,1,5211,2,0,17000
Picture,29_RW_HighFRW_HF1_caer.png,hit,1,5640,2,355783,1,5812,2,0,17000
Picture,30_RW_LowFRW_LF1_pecas.png,hit,1,6197,2,366506,1,6413,2,0,17000
Picture,31_RW_LowFRW_LF1_vereda.png,hit,1,6653,2,377730,1,6814,2,0,17000
Picture,32_RW_LowFRW_LF1_vasija.png,hit,1,6527,3,389455,1,6614,2,0,17000
Picture,33_PWPW_HF1_luchar.png,hit,2,11142,2,401080,1,11324,2,0,17000
Picture,34_RW_HighFRW_HF1_piensa.png,hit,1,5228,2,417314,1,5412,2,0,17000
Picture,35_PWPW_HF1_cocina.png,hit,2,9626,2,427636,1,9721,2,0,17000
Picture,37_RW_HighFRW_HF1_cielo.png,hit,1,5074,2,442268,1,5411,2,0,17000
Picture,38_PWPW_LF1_zombi.png,hit,2,6953,2,452389,1,7216,2,0,17000
Picture,39_CSCS_LF1_vasija.png,hit,2,5007,2,464415,1,5111,2,0,17000
Picture,40_PWPW_LF1_sigilo.png,hit,2,7545,2,474437,1,7816,2,0,17000
Picture,41_CSCS_LF1_colcha.png,hit,2,4837,3,487064,1,5010,2,0,17000
Picture,42_RW_LowFRW_LF1_indole.png,hit,1,6116,3,496985,1,6514,2,0,17000
Picture,43_RW_LowFRW_LF1_copiar.png,hit,1,4672,2,508109,1,4910,2,0,17000
Picture,44_RW_HighFRW_HF1_ganar.png,hit,1,4551,2,517830,1,4710,2,0,17000
Picture,45_RW_LowFRW_LF1_vaciar.png,hit,1,4371,2,527450,1,4710,2,0,17000
Picture,47_PWPW_LF1_ceniza.png,hit,2,8311,2,536870,1,8519,2,0,17000
Picture,48_PWPW_LF1_merced.png,hit,2,5942,2,550199,1,6213,2,0,17000
Picture,49_CSCS_HF1_carcel.png,hit,2,4919,2,561222,1,5111,2,0,17000
Picture,50_RW_LowFRW_LF1_peine.png,hit,1,6577,2,571244,1,6814,3,0,17000
Picture,51_RW_LowFRW_LF1_ceniza.png,hit,1,5672,2,582869,1,5812,2,0,17000
Picture,52_RW_LowFRW_LF1_minero.png,hit,1,5508,3,593592,1,5712,2,0,17000
Picture,53_CSCS_LF1_tejer.png,hit,2,4506,2,604114,1,4610,2,0,17000
Picture,54_RW_LowFRW_LF1_zombi.png,hit,1,5625,2,613635,1,5812,2,0,17000
Picture,55_PWPW_HF1_camino.png,hit,2,8342,2,624358,1,8418,2,0,17000
Picture,56_RW_LowFRW_LF1_petate.png,hit,1,7794,2,637786,1,8018,2,0,17000
Picture,57_PWPW_HF1_lluvia.png,incorrect,1,9606,2,650614,1,9921,2,0,17000
Picture,58_PWPW_LF1_utero.png,hit,2,9695,2,665245,1,9921,2,0,17000
Picture,59_PWPW_HF1_chica.png,hit,2,7682,3,679977,1,8017,2,0,17000
Picture,60_RW_HighFRW_HF1_quizas.png,hit,1,5035,2,692704,1,5211,2,0,17000
Picture,61_PWPW_HF1_leche.png,hit,2,6193,2,702826,1,6313,2,0,17000
Picture,63_PWPW_HF1_perder.png,hit,2,6169,2,714050,1,6313,2,0,17000
Picture,64_PWPW_HF1_medida.png,hit,2,9345,2,725274,1,9520,2,0,17000
Picture,65_RW_LowFRW_LF1_suceso.png,hit,1,6754,2,739705,1,6914,2,0,17000
Picture,67_RW_LowFRW_LF1_nocion.png,hit,1,7809,2,751530,1,7917,2,0,17000
Picture,68_RW_HighFRW_HF1_tratar.png,hit,1,6341,3,764357,1,6514,2,0,17000
Picture,69_PWPW_HF1_senal.png,hit,2,7236,3,775782,1,7516,2,0,17000
Picture,70_PWPW_HF1_imagen.png,hit,2,7070,2,788108,1,7316,2,0,17000
Picture,71_PWPW_LF1_copos.png,incorrect,1,6144,2,800234,1,6213,3,0,17000
Picture,72_RW_HighFRW_HF1_correr.png,hit,1,4760,2,811458,1,4810,3,0,17000
Picture,73_RW_LowFRW_LF1_lienzo.png,hit,1,6619,2,821279,1,6815,2,0,17000
Picture,75_RW_LowFRW_LF1_pubis.png,hit,1,6354,2,832904,1,6514,2,0,17000
Picture,76_RW_LowFRW_LF1_azufre.png,hit,1,5649,2,844329,1,5812,2,0,17000
Picture,78_PWPW_HF1_llego.png,hit,2,7885,3,855052,1,8017,2,0,17000
Picture,80_RW_HighFRW_HF1_carcel.png,hit,1,5039,2,867979,1,5312,2,0,17000
Picture,82_RW_LowFRW_LF1_cogida.png,hit,1,5396,2,878101,1,5512,2,0,17000
Picture,83_PWPW_HF1_dejar.png,hit,2,6814,2,888523,1,6915,2,0,17000
Picture,84_CSCS_LF1_vicio.png,hit,2,6028,2,900349,1,6213,2,0,17000
Picture,85_RW_HighFRW_HF1_verano.png,hit,1,7545,2,911472,1,7717,2,0,17000
Picture,86_CSCS_LF1_encias.png,hit,2,5558,2,924099,1,5612,2,0,17000
Picture,87_RW_LowFRW_LF1_buey.png,hit,1,5575,2,934722,1,5612,2,0,17000
Picture,88_PWPW_HF1_llevar.png,hit,2,7271,3,945345,1,7316,2,0,17000
Picture,90_RW_LowFRW_LF1_ranura.png,hit,1,10465,3,957671,1,10723,2,0,17000
Picture,91_RW_LowFRW_LF1_furor.png,hit,1,6691,2,973205,1,7015,2,0,17000
Picture,94_CSCS_HF1_feliz.png,hit,2,5526,2,984930,1,5712,2,0,17000
Picture,95_CSCS_LF1_quicio.png,hit,2,5464,2,995552,1,5713,2,0,17000
Picture,96_PWPW_LF1_butaca.png,hit,2,8061,2,1006075,1,8318,2,0,17000
Picture,97_PWPW_LF1_nocion.png,hit,2,8693,2,1019203,1,8919,2,0,17000
Picture,98_RW_HighFRW_HF1_resto.png,hit,1,6324,2,1032932,1,6514,2,0,17000
Picture,99_RW_HighFRW_HF1_cerca.png,hit,1,7378,3,1044357,1,7516,2,0,17000
Picture,100_PWPW_HF1_vuelto.png,incorrect,1,7352,4,1056783,2,7517,3,0,17000
Picture,101_PWPW_LF1_higos.png,hit,2,7165,2,1069210,1,7416,2,0,17000
Picture,102_RW_HighFRW_HF1_pedido.png,hit,1,5819,2,1081436,1,5913,2,0,17000
