Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_PWPW_HF2_fuiste.png,incorrect,3,1054,2,26778,1,17036,2,0,17000
Picture,2_PWPW_LF2_enzima.png,hit,2,21466,2,160764,1,17037,2,0,17000
Picture,3_RW_LowFRW_LF2_dorso.png,hit,1,9389,2,187321,1,9520,2,0,17000
Picture,4_CSCS_HF2_tienda.png,hit,2,8078,2,201752,1,8318,2,0,17000
Picture,5_RW_HighFRW_HF2_llama.png,hit,1,9110,2,214880,1,9320,2,0,17000
Picture,6_PWPW_LF2_lances.png,hit,2,9539,2,229010,1,9821,2,0,17000
Picture,7_RW_LowFRW_LF2_hebreo.png,hit,1,8508,2,243641,1,8619,2,0,17000
Picture,8_CSCS_LF2_eludir.png,hit,2,6739,2,257170,1,6915,2,0,17000
Picture,9_PWPW_HF2_sombra.png,hit,2,9233,2,268996,1,9420,2,0,17000
Picture,10_CSCS_HF2_pueblo.png,hit,2,6342,3,283326,1,6414,2,0,17000
Picture,11_PWPW_HF2_casado.png,hit,2,9477,3,294751,1,9620,2,0,17000
Picture,12_RW_LowFRW_LF2_optar.png,hit,1,5586,2,309282,1,5812,2,0,17000
Picture,13_PWPW_LF2_enredo.png,hit,2,13044,2,319904,1,13229,2,0,17000
Picture,14_RW_HighFRW_HF2_cadena.png,hit,1,7385,2,338043,1,7516,2,0,17000
Picture,16_CSCS_HF2_creer.png,hit,2,5358,2,350470,1,5612,2,0,17000
Picture,17_PWPW_HF2_unico.png,hit,2,7495,2,360892,1,7616,2,0,17000
Picture,19_CSCS_LF2_prior.png,hit,2,5048,2,373419,1,5111,2,0,17000
Picture,20_RW_LowFRW_LF2_prior.png,incorrect,2,7087,2,383540,1,7216,2,0,17000
Picture,22_RW_LowFRW_LF2_compas.png,hit,1,6241,2,395666,1,6414,2,0,17000
Picture,23_RW_LowFRW_LF2_miope.png,hit,1,7156,2,406991,1,7315,2,0,17000
Picture,24_CSCS_LF2_encaje.png,hit,2,5570,2,419217,1,5812,2,0,17000
Picture,25_PWPW_LF2_puas.png,hit,2,6867,2,429839,1,7015,3,0,17000
Picture,27_PWPW_HF2_conoce.png,hit,2,7821,2,441765,1,7917,2,0,17000
Picture,28_RW_LowFRW_LF2_cursi.png,hit,1,7634,2,454592,1,7917,2,0,17000
Picture,30_CSCS_HF2_unico.png,hit,2,5627,2,467319,1,5813,2,0,17000
Picture,31_PWPW_HF2_tierra.png,hit,2,11224,2,478042,1,11325,2,0,17000
