Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_RW_HighFRW_HF2_comer.png,hit,1,29703,2,477844,1,17036,2,0,17000
Picture,2_PWPW_HF2_piel.png,hit,2,9009,2,512618,1,9120,2,0,17000
Picture,3_PWPW_HF2_prensa.png,incorrect,1,8419,2,526648,1,8518,2,0,17000
Picture,4_RW_HighFRW_HF2_ciudad.png,incorrect,2,10989,3,540077,1,11224,2,0,17000
Picture,5_RW_LowFRW_LF2_hocico.png,hit,1,14155,2,556111,1,14231,2,0,17000
Picture,6_PWPW_LF2_lances.png,hit,2,15634,3,575352,2,15834,3,0,17000
Picture,8_PWPW_HF2_conoce.png,incorrect,1,41949,2,595997,1,17036,2,0,17000
Picture,9_RW_LowFRW_LF2_antojo.png,hit,1,26068,2,642997,1,17037,2,0,17000
Picture,12_PWPW_LF2_liar.png,hit,2,12261,2,674164,1,12426,3,0,17000
Picture,13_RW_HighFRW_HF2_salir.png,hit,1,9644,2,691501,1,9721,2,0,17000
Picture,14_RW_LowFRW_LF2_cursi.png,hit,1,11311,3,706233,1,11424,2,0,17000
Picture,15_PWPW_LF2_viudo.png,hit,2,8417,2,722568,1,8518,2,0,17000
Picture,16_RW_LowFRW_LF2_utopia.png,hit,1,13228,3,735996,1,13329,2,0,17000
Picture,18_PWPW_LF2_utopia.png,hit,2,13309,2,754235,1,13529,2,0,17000
Picture,19_PWPW_HF2_unico.png,incorrect,1,8729,2,772575,1,8919,2,0,17000
Picture,20_CSCS_HF2_cuarto.png,hit,2,10820,2,786404,1,11024,2,0,17000
Picture,21_PWPW_LF2_hebreo.png,hit,2,12185,3,802238,1,12226,2,0,17000
Picture,22_RW_HighFRW_HF2_viento.png,hit,1,8788,3,819475,1,8919,2,0,17000
Picture,24_RW_LowFRW_LF2_rareza.png,hit,1,31198,2,833305,1,17036,2,0,17000
Picture,25_RW_HighFRW_HF2_casado.png,hit,1,7641,2,869582,1,7817,2,0,17000
Picture,26_RW_HighFRW_HF2_jugar.png,hit,1,6433,2,882310,1,6514,2,0,17000
Picture,27_CSCS_LF2_prior.png,hit,2,7629,2,893834,1,7817,2,0,17000
Picture,28_RW_LowFRW_LF2_soplo.png,hit,1,11541,4,906561,2,11625,3,0,17000
Picture,30_PWPW_HF2_tienda.png,hit,2,14665,3,923197,1,14932,2,0,17000
Picture,31_CSCS_LF2_clamor.png,hit,2,6763,2,942939,1,6815,2,0,17000
Picture,33_RW_HighFRW_HF2_nino.png,hit,1,6377,2,954765,1,6413,2,0,17000
Picture,34_RW_LowFRW_LF2_tapete.png,hit,1,11193,2,966189,1,11425,2,0,17000
Picture,35_PWPW_LF2_rizos.png,incorrect,1,28637,3,982424,1,17036,2,0,17000
Picture,37_PWPW_LF2_espiar.png,hit,2,12725,2,1016096,1,13028,2,0,17000
Picture,38_RW_LowFRW_LF2_dictar.png,hit,1,8507,2,1033834,1,8719,2,0,17000
Picture,39_PWPW_HF2_evitar.png,hit,2,11938,2,1047363,1,12026,2,0,17000
Picture,41_PWPW_HF2_origen.png,hit,2,12742,2,1064399,1,12828,2,0,17000
