Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_PWPW_HF2_fuerza.png,hit,2,7524,3,78990,1,8017,2,0,17000
Picture,2_RW_HighFRW_HF2_detras.png,hit,1,5377,3,91617,1,5713,2,0,17000
Picture,3_PWPW_HF2_anoche.png,hit,2,5674,2,102040,1,5812,2,0,17000
Picture,4_PWPW_LF2_antojo.png,hit,2,5271,2,112763,1,5411,2,0,17000
Picture,5_PWPW_HF2_origen.png,hit,2,4789,2,123085,1,5311,2,0,17000
Picture,9_CSCS_HF2_evitar.png,hit,2,4408,2,132906,1,4710,2,0,17000
Picture,10_RW_LowFRW_LF2_devoto.png,hit,1,4748,2,142326,1,5111,2,0,17000
Picture,12_PWPW_LF2_grosor.png,hit,2,4767,2,152147,1,5011,2,0,17000
Picture,13_RW_HighFRW_HF2_salud.png,hit,1,4706,2,161968,1,4911,2,0,17000
Picture,14_RW_HighFRW_HF2_ataque.png,hit,1,4585,2,171689,1,4710,2,0,17000
Picture,15_RW_HighFRW_HF2_piel.png,incorrect,2,3444,2,181310,1,3607,2,0,17000
Picture,16_RW_LowFRW_LF2_cutis.png,hit,1,5406,2,189828,1,5512,2,0,17000
Picture,17_CSCS_HF2_ganas.png,hit,2,4264,2,200250,1,4410,2,0,17000
Picture,19_PWPW_LF2_gitana.png,hit,2,4624,2,209570,1,4811,2,0,17000
Picture,20_CSCS_HF2_noche.png,hit,2,3942,2,219291,1,4109,2,0,17000
Picture,21_RW_LowFRW_LF2_menton.png,hit,1,4843,3,228310,2,4911,3,0,17000
Picture,22_CSCS_HF2_pelear.png,hit,2,4041,3,238232,1,4509,3,0,17000
Picture,24_PWPW_HF2_llamar.png,incorrect,1,3722,3,247351,2,3809,3,0,17000
Picture,25_PWPW_HF2_ayuda.png,hit,2,5703,2,256170,1,5813,2,0,17000
Picture,26_PWPW_HF2_conoce.png,hit,2,5540,2,266893,1,5712,3,0,17000
Picture,27_RW_HighFRW_HF2_dinero.png,hit,1,4277,2,277516,1,4810,2,0,17000
Picture,28_CSCS_LF2_rocio.png,hit,2,3757,2,286836,1,3808,2,0,17000
Picture,29_PWPW_LF2_aislar.png,hit,2,4298,2,295655,1,4610,2,0,17000
