Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_RW_HighFRW_HF1_leche.png,hit,1,22924,2,235025,1,17036,2,0,17000
Picture,2_PWPW_LF1_quicio.png,hit,2,18084,2,262985,1,17036,2,0,17000
Picture,3_CSCS_HF1_imagen.png,hit,2,9175,2,286134,1,9220,2,0,17000
Picture,4_RW_LowFRW_LF1_cordon.png,hit,1,8464,2,300365,1,8518,2,0,17000
Picture,5_PWPW_HF1_salida.png,hit,2,9174,3,313894,1,9220,2,0,17000
Picture,6_PWPW_LF1_pecas.png,hit,2,9264,3,328124,2,9320,3,0,17000
Picture,7_CSCS_LF1_astros.png,hit,2,6533,2,342455,1,6614,2,0,17000
Picture,8_PWPW_LF1_carmin.png,hit,2,7868,2,354080,1,7917,2,0,17000
Picture,9_RW_LowFRW_LF1_petate.png,incorrect,2,9820,2,367008,1,9921,2,0,17000
Picture,10_PWPW_HF1_entrar.png,hit,2,12188,2,381840,1,12226,2,0,17000
Picture,12_PWPW_LF1_cuenca.png,hit,2,10791,2,399077,1,10823,2,0,17000
Picture,13_CSCS_HF1_ganar.png,hit,2,7277,2,414911,1,7315,2,0,17000
Picture,14_RW_LowFRW_LF1_pecas.png,hit,1,8631,2,427237,1,8719,2,0,17000
Picture,15_RW_LowFRW_LF1_butaca.png,hit,1,8821,3,440966,1,8919,3,0,17000
Picture,16_CSCS_LF1_reptil.png,hit,2,5311,2,454796,1,5412,2,0,17000
Picture,17_PWPW_HF1_grande.png,hit,2,8269,3,465118,1,8318,2,0,17000
Picture,18_RW_LowFRW_LF1_ceniza.png,hit,1,7260,2,478447,1,7316,2,0,17000
Picture,19_CSCS_HF1_chica.png,hit,2,5974,2,490773,1,6013,2,0,17000
Picture,20_RW_HighFRW_HF1_unidad.png,hit,1,12230,2,501797,1,12326,2,0,17000
Picture,21_PWPW_LF1_desvan.png,incorrect,1,6913,2,519034,1,7015,2,0,17000
Picture,22_PWPW_LF1_vereda.png,hit,2,10668,2,530959,1,10723,2,0,17000
Picture,23_PWPW_LF1_nocion.png,hit,2,13814,2,546693,1,13930,2,0,17000
Picture,25_RW_HighFRW_HF1_marido.png,hit,1,6093,2,565534,1,6213,2,0,17000
Picture,26_RW_HighFRW_HF1_saber.png,hit,1,6730,2,576657,1,6815,2,0,17000
Picture,27_PWPW_HF1_llego.png,incorrect,1,11543,3,588483,1,11625,2,0,17000
Picture,28_CSCS_HF1_accion.png,hit,2,6508,3,605118,2,6615,3,0,17000
Picture,29_PWPW_LF1_higos.png,hit,2,11143,2,616643,1,11224,2,0,17000
