Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_PWPW_LF2_mechon.png,hit,2,8895,2,188224,1,9019,2,0,17000
Picture,2_PWPW_HF2_nino.png,hit,2,6645,3,202154,1,6714,2,0,17000
Picture,3_CSCS_HF2_blanco.png,hit,2,4840,2,213879,1,4910,2,0,17000
Picture,4_PWPW_HF2_ataque.png,hit,2,7159,2,223800,1,7215,2,0,17000
Picture,6_RW_LowFRW_LF2_yanqui.png,hit,1,5813,2,236026,1,5913,2,0,17000
Picture,7_CSCS_LF2_ropero.png,hit,2,6030,2,246849,1,6113,2,0,17000
Picture,9_RW_HighFRW_HF2_nino.png,hit,1,5066,2,257973,1,5111,2,0,17000
Picture,10_RW_HighFRW_HF2_dinero.png,hit,1,4864,2,268095,1,4910,2,0,17000
Picture,11_PWPW_HF2_ayudar.png,hit,2,5583,2,278016,1,5712,2,0,17000
Picture,12_RW_LowFRW_LF2_rocio.png,hit,1,4879,2,288639,1,5011,2,0,17000
Picture,13_PWPW_LF2_larvas.png,hit,2,6718,3,298560,1,6815,2,0,17000
Picture,14_RW_HighFRW_HF2_detras.png,hit,1,4593,2,310285,1,4710,2,0,17000
Picture,15_RW_HighFRW_HF2_sitio.png,hit,1,5052,2,319906,1,5111,2,0,17000
Picture,16_RW_HighFRW_HF2_cinco.png,hit,1,5331,2,330027,1,5412,2,0,17000
Picture,17_RW_HighFRW_HF2_cuenta.png,hit,1,4908,2,340450,1,5010,2,0,17000
Picture,19_RW_LowFRW_LF2_antojo.png,hit,1,4507,2,350371,1,4610,2,0,17000
Picture,20_PWPW_HF2_muerto.png,hit,2,5147,2,359891,1,5211,3,0,17000
Picture,21_RW_LowFRW_LF2_naipes.png,hit,1,6445,2,370113,1,6514,2,0,17000
Picture,23_CSCS_LF2_puas.png,hit,2,4919,3,381638,1,5011,2,0,17000
Picture,24_RW_LowFRW_LF2_trecho.png,hit,1,5618,3,391659,1,5713,2,0,17000
Picture,25_PWPW_LF2_liebre.png,hit,2,6495,2,402382,1,6614,3,0,17000
Picture,27_CSCS_HF2_amigo.png,hit,2,4730,2,413907,1,4810,2,0,17000
Picture,28_PWPW_HF2_calor.png,hit,2,7629,2,423728,1,7717,2,0,17000
Picture,29_PWPW_LF2_devoto.png,hit,2,5782,2,436455,1,5913,2,0,17000
Picture,30_PWPW_LF2_fundar.png,hit,2,5119,2,447278,1,5212,2,0,17000
Picture,31_CSCS_HF2_cuarto.png,hit,2,4177,2,457500,1,4310,2,0,17000
Picture,32_RW_LowFRW_LF2_menton.png,hit,1,5356,3,466720,1,5412,2,0,17000
Picture,33_RW_HighFRW_HF2_salir.png,hit,1,4694,3,477142,1,4811,2,0,17000
Picture,34_RW_LowFRW_LF2_mascar.png,incorrect,2,5773,2,486863,1,5813,2,0,17000
Picture,35_PWPW_LF2_grosor.png,incorrect,1,9190,3,497686,1,9320,2,0,17000
Picture,36_RW_LowFRW_LF2_soplo.png,hit,1,5839,2,511917,1,5912,3,0,17000
Picture,37_RW_LowFRW_LF2_cutis.png,hit,1,4916,2,522840,1,5011,2,0,17000
Picture,38_RW_LowFRW_LF2_encaje.png,hit,1,5315,3,532761,2,5412,3,0,17000
Picture,39_RW_HighFRW_HF2_fuerza.png,hit,1,4672,2,543084,1,4710,2,0,17000
Picture,40_CSCS_HF2_ingles.png,hit,2,4872,2,552804,1,4911,2,0,17000
Picture,41_RW_HighFRW_HF2_estado.png,hit,1,5989,3,562726,1,6113,2,0,17000
Picture,43_CSCS_LF2_cutis.png,hit,2,4487,2,573749,1,4610,2,0,17000
Picture,45_RW_LowFRW_LF2_miope.png,hit,1,5125,2,583270,1,5211,2,0,17000
Picture,46_RW_HighFRW_HF2_bosque.png,hit,1,6343,2,593492,1,6413,2,0,17000
Picture,47_PWPW_LF2_arder.png,hit,2,5319,2,604916,1,5412,2,0,17000
Picture,50_PWPW_HF2_fuiste.png,hit,2,8257,2,615338,1,8318,2,0,17000
Picture,51_PWPW_LF2_alcoba.png,hit,2,5248,2,628667,1,5311,2,0,17000
Picture,52_PWPW_LF2_mascar.png,hit,2,6446,2,638989,1,6514,2,0,17000
Picture,53_PWPW_HF2_comida.png,hit,2,6681,2,650514,1,6714,2,0,17000
Picture,54_RW_LowFRW_LF2_posar.png,hit,1,5995,3,662239,1,6113,2,0,17000
Picture,55_PWPW_HF2_piel.png,hit,2,6732,3,673262,1,6815,2,0,17000
Picture,56_PWPW_LF2_utopia.png,hit,2,4986,2,685088,1,5110,3,0,17000
Picture,58_PWPW_LF2_rienda.png,hit,2,6885,2,695109,1,7015,2,0,17000
Picture,59_RW_HighFRW_HF2_ayuda.png,hit,1,5599,2,707035,1,5712,2,0,17000
Picture,61_RW_LowFRW_LF2_optar.png,hit,1,5377,2,717657,1,5412,2,0,17000
Picture,62_RW_HighFRW_HF2_cuello.png,hit,1,4474,2,728080,1,4509,2,0,17000
Picture,63_PWPW_LF2_puas.png,hit,2,5754,2,737600,1,5812,3,0,17000
Picture,64_CSCS_HF2_pensar.png,hit,2,5411,2,748423,1,5512,2,0,17000
Picture,66_PWPW_LF2_yanqui.png,hit,2,4907,3,758846,1,5010,2,0,17000
Picture,67_PWPW_LF2_prenda.png,incorrect,1,6426,3,768767,1,6514,2,0,17000
Picture,68_CSCS_HF2_pelear.png,hit,2,4742,3,780291,2,4811,3,0,17000
Picture,69_RW_LowFRW_LF2_cursi.png,hit,1,5241,3,790112,2,5312,3,0,17000
Picture,70_PWPW_LF2_dorso.png,hit,2,5158,2,800435,1,5211,2,0,17000
Picture,71_PWPW_LF2_trecho.png,incorrect,1,6057,3,810656,2,6114,3,0,17000
Picture,72_PWPW_LF2_trepar.png,incorrect,1,4613,2,821780,1,4710,2,0,17000
Picture,74_RW_HighFRW_HF2_salud.png,hit,1,5552,2,831401,1,5612,2,0,17000
Picture,75_RW_LowFRW_LF2_utopia.png,hit,1,6288,3,842024,1,6413,2,0,17000
Picture,76_PWPW_LF2_naipes.png,hit,2,6004,3,853348,1,6113,2,0,17000
Picture,77_RW_HighFRW_HF2_ingles.png,hit,1,5620,2,864372,1,5712,2,0,17000
Picture,78_RW_HighFRW_HF2_muerto.png,hit,1,5538,2,875094,1,5612,3,0,17000
Picture,80_RW_HighFRW_HF2_pensar.png,hit,1,5555,2,885717,1,5612,2,0,17000
Picture,81_RW_HighFRW_HF2_doctor.png,hit,1,4692,2,896340,1,4810,2,0,17000
Picture,82_CSCS_HF2_creer.png,hit,2,4891,2,906061,1,5011,2,0,17000
Picture,83_RW_HighFRW_HF2_llama.png,hit,1,5290,2,915982,1,5412,2,0,17000
Picture,84_PWPW_LF2_viudo.png,hit,2,5288,2,926304,1,5412,2,0,17000
Picture,85_CSCS_LF2_alcoba.png,hit,2,5286,2,936626,1,5412,2,0,17000
Picture,88_PWPW_LF2_chofer.png,hit,2,7363,2,946948,1,7416,2,0,17000
Picture,89_PWPW_LF2_romero.png,hit,2,6136,2,959375,1,6213,2,0,17000
Picture,90_CSCS_LF2_cursi.png,hit,2,5152,2,970599,1,5211,2,0,17000
Picture,92_PWPW_LF2_vello.png,hit,2,5330,2,980821,1,5411,2,0,17000
Picture,93_RW_LowFRW_LF2_enzima.png,incorrect,2,5868,2,991243,1,5913,2,0,17000
Picture,94_RW_HighFRW_HF2_creer.png,hit,1,7824,2,1002167,1,7917,2,0,17000
Picture,97_PWPW_HF2_salud.png,hit,2,5537,2,1015094,1,5612,2,0,17000
Picture,99_RW_LowFRW_LF2_cano.png,hit,1,5474,2,1025717,1,5512,2,0,17000
Picture,100_RW_HighFRW_HF2_amigo.png,hit,1,4231,2,1036240,1,4309,2,0,17000
Picture,101_PWPW_LF2_ladrar.png,hit,2,5551,4,1045559,2,5612,4,0,17000
Picture,105_PWPW_HF2_noche.png,hit,2,7088,2,1056182,1,7216,2,0,17000
Picture,106_PWPW_LF2_cocido.png,incorrect,1,6242,2,1068308,1,6314,2,0,17000
Picture,107_PWPW_LF2_aislar.png,hit,2,6838,2,1079632,1,6915,2,0,17000
Picture,108_CSCS_HF2_conoce.png,hit,2,4432,2,1091558,1,4510,2,0,17000
Picture,109_CSCS_HF2_salud.png,hit,2,4832,2,1101078,1,4911,2,0,17000
Picture,110_CSCS_LF2_menton.png,hit,2,4510,2,1111000,1,4609,2,0,17000
Picture,111_PWPW_LF2_posar.png,hit,2,7310,2,1120520,1,7416,2,0,17000
Picture,112_PWPW_LF2_hebreo.png,hit,2,5063,2,1132846,1,5111,2,0,17000
Picture,113_CSCS_HF2_grupo.png,hit,2,5581,2,1142968,1,5712,2,0,17000
Picture,114_CSCS_LF2_naipes.png,hit,2,4398,2,1153591,1,4509,2,0,17000
Picture,115_CSCS_LF2_hocico.png,hit,2,4258,2,1163011,1,4309,2,0,17000
Picture,116_RW_LowFRW_LF2_reja.png,hit,1,6138,2,1172331,1,6213,2,0,17000
Picture,117_PWPW_HF2_monton.png,hit,2,6034,2,1183555,1,6113,2,0,17000
Picture,119_RW_LowFRW_LF2_biceps.png,hit,1,5390,2,1194679,1,5512,2,0,17000
Picture,120_RW_LowFRW_LF2_tapete.png,hit,1,6168,2,1205101,1,6213,2,0,17000
Picture,121_RW_LowFRW_LF2_nausea.png,hit,1,5343,3,1216325,1,5412,2,0,17000
Picture,122_RW_HighFRW_HF2_manos.png,hit,1,6521,3,1226747,1,6615,2,0,17000
Picture,123_PWPW_HF2_subir.png,hit,2,4896,2,1238372,1,5011,2,0,17000
Picture,124_RW_LowFRW_LF2_percha.png,hit,1,5454,2,1248294,1,5511,2,0,17000
Picture,126_RW_HighFRW_HF2_ciudad.png,hit,1,4932,2,1258816,1,5011,2,0,17000
Picture,127_PWPW_LF2_cobijo.png,hit,2,5230,2,1268838,1,5311,2,0,17000
Picture,128_PWPW_HF2_sombra.png,hit,2,7468,2,1279160,1,7516,2,0,17000
Picture,129_CSCS_HF2_tocar.png,hit,2,4302,3,1291686,2,4410,3,0,17000
Picture,130_RW_LowFRW_LF2_cobijo.png,hit,1,6022,2,1301006,1,6114,2,0,17000
Picture,131_PWPW_LF2_guino.png,hit,2,5058,2,1312130,1,5111,2,0,17000
Picture,132_PWPW_HF2_blanco.png,hit,2,5976,2,1322252,1,6013,2,0,17000
Picture,134_PWPW_HF2_chico.png,hit,2,5911,2,1333276,1,6012,2,0,17000
Picture,136_CSCS_LF2_mascar.png,hit,2,6508,2,1344199,1,6614,2,0,17000
Picture,137_CSCS_LF2_capote.png,hit,2,5383,2,1355724,1,5511,2,0,17000
Picture,138_PWPW_HF2_amigo.png,hit,2,6401,2,1366146,1,6514,2,0,17000
Picture,139_PWPW_LF2_gitana.png,hit,2,5457,2,1377570,1,5512,2,0,17000
Picture,140_CSCS_LF2_biceps.png,hit,2,4374,2,1388093,1,4409,2,0,17000
Picture,141_RW_HighFRW_HF2_reloj.png,hit,1,5513,3,1397513,1,5612,2,0,17000
Picture,142_PWPW_HF2_humano.png,hit,2,5630,2,1408036,1,5712,2,0,17000
Picture,143_CSCS_LF2_encaje.png,hit,2,4587,2,1418759,1,4710,2,0,17000
Picture,144_PWPW_HF2_cuello.png,hit,2,5447,2,1428379,1,5512,2,0,17000
Picture,145_PWPW_LF2_compas.png,hit,2,4364,2,1438902,1,4409,2,0,17000
Picture,146_CSCS_HF2_motivo.png,hit,2,4304,2,1448322,1,4409,2,0,17000
Picture,147_PWPW_LF2_cano.png,hit,2,5064,2,1457642,1,5111,2,0,17000
Picture,148_PWPW_HF2_cadena.png,hit,2,5823,3,1467763,2,5913,3,0,17000
Picture,149_PWPW_LF2_menton.png,hit,2,7139,2,1478687,1,7215,2,0,17000
Picture,150_RW_LowFRW_LF2_arder.png,incorrect,2,5152,3,1490913,1,5211,2,0,17000
Picture,151_RW_HighFRW_HF2_monton.png,hit,1,4851,2,1501135,1,4910,2,0,17000
Picture,152_PWPW_LF2_soplo.png,hit,2,4449,2,1511056,1,4510,2,0,17000
Picture,153_PWPW_LF2_antojo.png,hit,2,5088,2,1520577,1,5211,2,0,17000
Picture,154_PWPW_LF2_espiar.png,hit,2,5767,2,1530698,1,5813,2,0,17000
Picture,157_PWPW_HF2_bosque.png,hit,2,5024,2,1541521,1,5111,2,0,17000
Picture,158_RW_HighFRW_HF2_joven.png,hit,1,5062,2,1551643,1,5111,2,0,17000
Picture,159_RW_HighFRW_HF2_coche.png,hit,1,5340,2,1561765,1,5411,2,0,17000
Picture,161_RW_HighFRW_HF2_motivo.png,hit,1,4918,2,1572187,1,5011,2,0,17000
Picture,163_PWPW_HF2_tierra.png,hit,2,5616,2,1582209,1,5712,2,0,17000
Picture,164_PWPW_HF2_conoce.png,hit,2,4993,3,1592831,1,5111,2,0,17000
Picture,165_PWPW_HF2_quedar.png,hit,2,4731,2,1602853,1,4810,2,0,17000
Picture,166_RW_LowFRW_LF2_rareza.png,hit,1,5230,2,1612674,1,5311,2,0,17000
Picture,167_PWPW_HF2_unico.png,hit,2,4508,2,1622996,1,4610,2,0,17000
Picture,168_PWPW_LF2_optar.png,hit,2,4668,2,1632516,1,4710,2,0,17000
Picture,169_CSCS_HF2_anoche.png,hit,2,4707,2,1642237,1,4810,2,0,17000
