Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,2_PWPW_LF1_desvan.png,hit,2,8666,2,96527,1,8719,2,0,17000
Picture,3_RW_LowFRW_LF1_butaca.png,incorrect,2,6056,2,110257,1,6113,2,0,17000
Picture,5_RW_HighFRW_HF1_valor.png,incorrect,2,6531,3,121381,1,6614,2,0,17000
Picture,6_PWPW_HF1_siente.png,incorrect,1,8346,3,133006,1,8418,2,0,17000
Picture,7_PWPW_LF1_exigir.png,incorrect,1,6839,2,146434,1,6915,2,0,17000
Picture,8_RW_LowFRW_LF1_lienzo.png,incorrect,2,7552,3,158360,1,7616,2,0,17000
Picture,9_CSCS_LF1_tejer.png,incorrect,1,6045,2,170987,1,6113,2,0,17000
Picture,10_PWPW_LF1_lienzo.png,incorrect,1,8761,2,182111,1,8818,3,0,17000
Picture,11_RW_LowFRW_LF1_pudor.png,incorrect,2,5652,2,195940,1,5712,3,0,17000
Picture,12_PWPW_HF1_cambio.png,incorrect,1,6369,2,206663,1,6414,2,0,17000
Picture,13_CSCS_HF1_accion.png,incorrect,1,4943,3,218088,1,5010,2,0,17000
Picture,14_RW_HighFRW_HF1_grande.png,incorrect,2,5403,2,228109,1,5512,2,0,17000
Picture,15_PWPW_LF1_torax.png,hit,2,8660,3,238531,1,8719,2,0,17000
Picture,16_RW_LowFRW_LF1_zombi.png,incorrect,2,5250,2,252261,1,5311,2,0,17000
Picture,17_RW_LowFRW_LF1_vereda.png,incorrect,2,6688,2,262583,1,6814,3,0,17000
Picture,18_PWPW_HF1_valor.png,incorrect,1,6323,2,274308,1,6414,2,0,17000
Picture,19_PWPW_HF1_camino.png,incorrect,1,9699,2,285732,1,9821,2,0,17000
Picture,21_RW_LowFRW_LF1_chivo.png,incorrect,2,8967,2,300464,1,9019,2,0,17000
Picture,22_RW_LowFRW_LF1_ranura.png,incorrect,2,7096,3,314494,1,7215,2,0,17000
Picture,23_RW_LowFRW_LF1_lumbre.png,incorrect,2,7530,3,326620,1,7616,2,0,17000
Picture,24_PWPW_LF1_zombi.png,incorrect,1,6343,3,339247,1,6414,2,0,17000
Picture,25_RW_LowFRW_LF1_cordon.png,incorrect,2,6119,2,350671,1,6214,2,0,17000
Picture,26_PWPW_LF1_marmol.png,incorrect,1,9055,2,361895,1,9120,2,0,17000
Picture,27_PWPW_HF1_verdad.png,incorrect,1,6204,2,376026,1,6313,2,0,17000
Picture,28_PWPW_HF1_unidad.png,incorrect,1,6020,2,387250,1,6113,2,0,17000
Picture,30_PWPW_HF1_ruido.png,incorrect,1,6096,2,398374,1,6213,2,0,17000
Picture,31_PWPW_LF1_rasgo.png,incorrect,1,6892,3,409497,1,7015,2,0,17000
Picture,32_PWPW_HF1_luchar.png,incorrect,1,8966,3,421423,1,9019,2,0,17000
Picture,33_CSCS_LF1_coyote.png,incorrect,1,5976,2,435453,1,6013,2,0,17000
Picture,34_RW_LowFRW_LF1_ceniza.png,incorrect,2,8633,4,446476,2,8719,3,0,17000
Picture,35_PWPW_LF1_esbozo.png,incorrect,1,7223,2,460206,1,7316,2,0,17000
Picture,36_PWPW_HF1_cuatro.png,incorrect,1,6977,2,472532,1,7015,2,0,17000
Picture,37_RW_LowFRW_LF1_vaciar.png,incorrect,2,5431,2,484558,1,5512,2,0,17000
Picture,39_RW_LowFRW_LF1_hachis.png,incorrect,2,6588,2,495081,1,6714,2,0,17000
Picture,40_RW_HighFRW_HF1_rato.png,incorrect,2,7603,3,506705,1,7717,2,0,17000
Picture,41_RW_LowFRW_LF1_prado.png,incorrect,2,8896,3,519332,1,9020,2,0,17000
Picture,42_CSCS_HF1_carcel.png,incorrect,1,5366,3,533262,1,5412,2,0,17000
Picture,43_CSCS_LF1_colcha.png,incorrect,1,5583,2,543685,1,5712,2,0,17000
Picture,44_CSCS_HF1_medida.png,incorrect,1,4881,2,554307,1,5011,2,0,17000
Picture,45_CSCS_LF1_nocion.png,incorrect,1,4639,2,564229,1,4710,2,0,17000
Picture,46_CSCS_LF1_consul.png,incorrect,1,4519,2,573949,1,4610,2,0,17000
Picture,47_PWPW_LF1_vejez.png,incorrect,1,4178,2,583570,1,4309,2,0,17000
Picture,48_PWPW_HF1_morir.png,incorrect,1,10478,2,592790,1,10522,2,0,17000
Picture,50_CSCS_LF1_clero.png,incorrect,1,4384,3,608323,1,4510,2,0,17000
Picture,51_PWPW_LF1_prever.png,incorrect,1,4164,2,617743,1,4209,2,0,17000
Picture,53_PWPW_HF1_entrar.png,incorrect,1,6224,2,626963,1,6313,2,0,17000
Picture,55_RW_LowFRW_LF1_oirse.png,incorrect,2,9620,2,638287,1,9721,2,0,17000
Picture,56_RW_LowFRW_LF1_peine.png,incorrect,2,5229,2,652918,1,5312,2,0,17000
Picture,57_PWPW_HF1_pedido.png,incorrect,1,6587,3,663240,2,6715,3,0,17000
Picture,58_PWPW_LF1_ceniza.png,incorrect,1,6082,2,674865,1,6113,2,0,17000
Picture,59_RW_LowFRW_LF1_pubis.png,incorrect,2,5517,3,685989,1,5612,2,0,17000
Picture,60_RW_LowFRW_LF1_pecas.png,incorrect,2,5535,2,696612,1,5612,2,0,17000
Picture,62_RW_HighFRW_HF1_futuro.png,incorrect,2,6191,3,707235,1,6313,2,0,17000
Picture,63_PWPW_LF1_higos.png,incorrect,1,7287,2,718459,1,7416,2,0,17000
Picture,64_RW_HighFRW_HF1_llevar.png,incorrect,2,6481,2,730785,1,6514,2,0,17000
Picture,66_RW_HighFRW_HF1_cerca.png,incorrect,2,5036,2,742310,1,5111,2,0,17000
Picture,67_PWPW_HF1_cabeza.png,incorrect,1,6675,2,752431,1,6715,2,0,17000
Picture,68_RW_HighFRW_HF1_luchar.png,incorrect,2,7430,3,764156,2,7517,3,0,17000
Picture,69_CSCS_HF1_marido.png,incorrect,1,6183,2,776683,1,6314,2,0,17000
Picture,70_RW_HighFRW_HF1_tomar.png,incorrect,2,4398,3,787907,1,4510,2,0,17000
Picture,71_PWPW_LF1_grueso.png,incorrect,1,5778,4,797327,2,5813,3,0,17000
Picture,72_RW_HighFRW_HF1_ruido.png,incorrect,2,5994,2,808151,1,6113,2,0,17000
Picture,73_RW_HighFRW_HF1_verdad.png,incorrect,2,6091,2,819174,1,6214,2,0,17000
Picture,74_PWPW_LF1_buey.png,incorrect,1,6007,2,830298,1,6113,2,0,17000
Picture,75_CSCS_LF1_sastre.png,incorrect,1,5303,2,841322,1,5411,2,0,17000
Picture,76_PWPW_LF1_utero.png,incorrect,1,6341,2,851644,1,6413,3,0,17000
Picture,78_PWPW_HF1_imagen.png,incorrect,1,6197,2,863068,1,6314,2,0,17000
Picture,79_RW_HighFRW_HF1_caer.png,incorrect,2,6093,2,874292,1,6214,2,0,17000
Picture,80_PWPW_HF1_grande.png,incorrect,1,5448,3,885416,1,5512,2,0,17000
Picture,81_CSCS_LF1_exigir.png,incorrect,1,4685,3,895939,1,4810,2,0,17000
Picture,82_PWPW_LF1_racion.png,incorrect,1,9445,2,905659,1,9521,2,0,17000
Picture,83_PWPW_HF1_ganar.png,incorrect,1,8754,3,920190,2,8819,3,0,17000
Picture,84_CSCS_HF1_salida.png,incorrect,1,5004,2,934020,1,5111,2,0,17000
Picture,85_RW_LowFRW_LF1_furor.png,hit,1,5142,2,944042,1,5211,2,0,17000
Picture,86_CSCS_HF1_ambos.png,incorrect,1,6441,2,954263,1,6514,2,0,17000
Picture,87_PWPW_HF1_llevar.png,hit,2,11715,3,965788,1,11825,2,0,17000
Picture,88_CSCS_HF1_ganar.png,incorrect,1,5379,3,982524,1,5512,2,0,17000
Picture,89_RW_LowFRW_LF1_encias.png,incorrect,2,5917,3,992946,1,6013,2,0,17000
Picture,90_PWPW_HF1_feliz.png,incorrect,1,7073,3,1003870,1,7115,2,0,17000
Picture,91_RW_HighFRW_HF1_color.png,incorrect,2,5907,2,1015996,1,6012,2,0,17000
Picture,92_RW_HighFRW_HF1_chica.png,incorrect,2,5384,2,1026919,1,5512,2,0,17000
Picture,93_RW_HighFRW_HF1_entrar.png,incorrect,2,5042,2,1037341,1,5111,2,0,17000
Picture,94_CSCS_LF1_grueso.png,incorrect,1,4920,2,1047463,1,5011,2,0,17000
Picture,95_PWPW_HF1_abuelo.png,incorrect,1,8579,2,1057484,1,8619,2,0,17000
Picture,96_PWPW_LF1_vicio.png,incorrect,1,8629,4,1071113,2,8719,3,0,17000
Picture,97_PWPW_HF1_dormir.png,incorrect,1,6019,2,1084843,1,6113,2,0,17000
Picture,98_RW_LowFRW_LF1_petate.png,incorrect,2,5935,3,1095967,1,6013,2,0,17000
Picture,99_PWPW_HF1_resto.png,incorrect,1,7792,2,1106990,1,7917,2,0,17000
Picture,100_RW_HighFRW_HF1_seguir.png,incorrect,2,5844,2,1119818,1,5912,2,0,17000
Picture,101_RW_HighFRW_HF1_resto.png,incorrect,2,5801,2,1130741,1,5913,2,0,17000
Picture,102_CSCS_LF1_petate.png,incorrect,1,5458,2,1141564,1,5512,2,0,17000
Picture,104_RW_LowFRW_LF1_sequia.png,incorrect,2,5415,2,1152087,1,5512,2,0,17000
Picture,105_CSCS_LF1_lumbre.png,incorrect,1,5152,3,1162509,1,5211,2,0,17000
Picture,106_PWPW_HF1_dejar.png,incorrect,1,6050,3,1172731,1,6113,2,0,17000
Picture,107_PWPW_LF1_vereda.png,incorrect,1,6126,2,1183855,1,6213,2,0,17000
Picture,109_PWPW_LF1_cebo.png,incorrect,1,5062,2,1195079,1,5111,2,0,17000
Picture,110_RW_HighFRW_HF1_quizas.png,incorrect,2,5821,3,1205200,2,5913,3,0,17000
Picture,111_PWPW_HF1_llegar.png,incorrect,1,7617,2,1216124,1,7716,2,0,17000
Picture,112_RW_LowFRW_LF1_indole.png,incorrect,2,7550,2,1228751,1,7616,2,0,17000
Picture,115_PWPW_LF1_peine.png,incorrect,1,7403,2,1241378,1,7516,2,0,17000
Picture,116_RW_HighFRW_HF1_vender.png,incorrect,2,6176,2,1253805,1,6213,2,0,17000
Picture,118_CSCS_LF1_encias.png,incorrect,1,5111,3,1265029,1,5211,2,0,17000
Picture,119_CSCS_HF1_chica.png,incorrect,1,5710,3,1275150,1,5813,2,0,17000
Picture,120_RW_HighFRW_HF1_medida.png,incorrect,2,6827,2,1285873,1,6915,2,0,17000
Picture,121_PWPW_LF1_consul.png,incorrect,1,5461,2,1297799,1,5511,2,0,17000
Picture,122_CSCS_LF1_carmin.png,incorrect,1,5259,2,1308321,1,5312,2,0,17000
Picture,123_RW_LowFRW_LF1_colcha.png,incorrect,2,6617,2,1318643,1,6715,2,0,17000
Picture,124_RW_LowFRW_LF1_apice.png,incorrect,2,6032,2,1330268,1,6113,2,0,17000
Picture,126_RW_LowFRW_LF1_prever.png,incorrect,2,6188,2,1341392,1,6313,2,0,17000
