Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_RW_HighFRW_HF2_comer.png,hit,1,10220,3,70972,2,10323,3,0,17000
Picture,2_RW_HighFRW_HF2_llama.png,hit,1,5786,3,86205,1,5913,2,0,17000
Picture,3_RW_LowFRW_LF2_optar.png,hit,1,6403,2,97028,1,6514,2,0,17000
Picture,4_RW_LowFRW_LF2_corral.png,hit,1,5538,2,108453,1,5612,2,0,17000
Picture,5_PWPW_LF2_cocido.png,hit,2,7156,2,119075,1,7216,2,0,17000
Picture,6_PWPW_LF2_rizos.png,incorrect,1,9410,2,131301,1,9521,2,0,17000
Picture,7_PWPW_LF2_liebre.png,hit,2,6019,2,145732,1,6113,2,0,17000
Picture,8_CSCS_HF2_conoce.png,hit,2,5935,2,156856,1,6013,2,0,17000
Picture,9_CSCS_LF2_menton.png,hit,2,4830,3,167880,1,4910,2,0,17000
Picture,10_PWPW_LF2_trepar.png,hit,2,7469,2,177801,1,7516,2,0,17000
Picture,12_PWPW_HF2_blanco.png,hit,2,5422,2,190328,1,5511,2,0,17000
Picture,13_RW_HighFRW_HF2_sangre.png,hit,1,5380,2,200850,1,5512,2,0,17000
Picture,14_RW_HighFRW_HF2_dinero.png,hit,1,4638,2,211272,1,4710,3,0,17000
Picture,15_PWPW_LF2_menton.png,hit,2,6917,2,220993,1,7015,2,0,17000
Picture,16_RW_HighFRW_HF2_doctor.png,hit,1,5070,3,232919,1,5111,2,0,17000
Picture,17_PWPW_HF2_origen.png,hit,2,4789,2,243040,1,4911,2,0,17000
Picture,19_PWPW_HF2_fuerza.png,hit,2,5928,2,252861,1,6013,2,0,17000
Picture,20_RW_HighFRW_HF2_sitio.png,hit,1,4664,2,263885,1,4710,2,0,17000
Picture,21_RW_HighFRW_HF2_ayudar.png,hit,1,4703,2,273606,1,4810,2,0,17000
Picture,22_RW_LowFRW_LF2_mechon.png,hit,1,4823,2,283326,1,4911,2,0,17000
Picture,23_PWPW_LF2_romero.png,hit,2,6661,2,293248,1,6714,2,0,17000
Picture,24_RW_LowFRW_LF2_nausea.png,hit,1,7335,3,304973,1,7416,2,0,17000
Picture,25_RW_LowFRW_LF2_hiedra.png,hit,1,4749,2,317399,1,4811,2,0,17000
Picture,26_PWPW_HF2_llamar.png,hit,2,7328,3,327220,1,7416,3,0,17000
Picture,27_RW_HighFRW_HF2_quedar.png,hit,1,5941,2,339647,1,6013,2,0,17000
Picture,28_PWPW_HF2_cadena.png,hit,2,6518,2,350670,1,6614,3,0,17000
Picture,29_PWPW_LF2_manojo.png,hit,2,5313,2,362195,1,5412,2,0,17000
Picture,31_RW_LowFRW_LF2_cocido.png,hit,1,4831,2,372517,1,4911,2,0,17000
Picture,32_CSCS_HF2_ganas.png,hit,2,4429,2,382438,1,4510,2,0,17000
Picture,33_PWPW_HF2_casado.png,hit,2,6748,2,391959,1,6814,2,0,17000
Picture,36_RW_HighFRW_HF2_monton.png,hit,1,4443,2,403784,1,4510,2,0,17000
Picture,37_PWPW_LF2_mechon.png,hit,2,7323,2,413304,1,7416,2,0,17000
Picture,38_RW_LowFRW_LF2_trepar.png,hit,1,5936,2,425731,1,6013,2,0,17000
Picture,39_PWPW_HF2_cuenta.png,hit,2,5953,2,436754,1,6013,2,0,17000
Picture,41_CSCS_LF2_eludir.png,incorrect,1,5648,3,447778,1,5712,2,0,17000
Picture,42_PWPW_LF2_hebreo.png,hit,2,4445,2,458501,1,4510,2,0,17000
Picture,43_PWPW_LF2_casual.png,hit,2,6125,2,468021,1,6214,2,0,17000
Picture,44_PWPW_HF2_campo.png,hit,2,4661,2,479245,1,4710,2,0,17000
Picture,46_PWPW_HF2_fuiste.png,hit,2,9100,2,488966,1,9220,2,0,17000
Picture,48_RW_HighFRW_HF2_bosque.png,hit,1,5129,3,503096,1,5211,2,0,17000
Picture,49_CSCS_LF2_cocido.png,hit,2,4107,3,513318,1,4209,2,0,17000
Picture,50_PWPW_HF2_marcha.png,hit,2,8347,3,522438,1,8418,2,0,17000
Picture,51_RW_HighFRW_HF2_jugar.png,hit,1,4759,2,535866,1,4811,2,0,17000
Picture,52_RW_LowFRW_LF2_romero.png,hit,1,4938,2,545687,1,5011,2,0,17000
Picture,53_PWPW_HF2_contar.png,incorrect,1,7716,2,555709,1,7816,2,0,17000
Picture,54_PWPW_LF2_prenda.png,hit,2,6029,2,568436,1,6113,2,0,17000
Picture,56_PWPW_HF2_tienda.png,hit,2,5865,2,579560,1,5912,2,0,17000
Picture,58_RW_LowFRW_LF2_devoto.png,incorrect,2,4461,3,590483,1,4509,3,0,17000
Picture,59_RW_HighFRW_HF2_cuello.png,hit,1,5261,2,600003,1,5312,2,0,17000
Picture,60_PWPW_LF2_rareza.png,hit,2,4379,2,610325,1,4510,2,0,17000
Picture,61_RW_HighFRW_HF2_casado.png,hit,1,7358,2,619746,1,7415,2,0,17000
Picture,63_PWPW_HF2_subir.png,hit,2,6852,2,632172,1,6915,2,0,17000
Picture,64_PWPW_HF2_cuello.png,hit,2,4926,2,644098,1,5010,2,0,17000
Picture,66_PWPW_LF2_dorso.png,hit,2,4264,3,654119,1,4309,2,0,17000
Picture,67_RW_LowFRW_LF2_capote.png,hit,1,6544,2,663439,1,6614,2,0,17000
Picture,68_RW_LowFRW_LF2_encaje.png,hit,1,7239,2,675064,1,7315,2,0,17000
Picture,69_RW_HighFRW_HF2_muerto.png,incorrect,2,3793,2,687390,1,3908,3,0,17000
Picture,71_PWPW_LF2_biceps.png,hit,2,4814,2,696209,1,4911,2,0,17000
Picture,72_CSCS_HF2_sentir.png,hit,2,4273,2,706030,1,4309,2,0,17000
Picture,73_RW_LowFRW_LF2_utopia.png,hit,1,5433,2,715350,1,5512,2,0,17000
Picture,74_PWPW_HF2_hijo.png,hit,2,4590,3,725872,1,4710,3,0,17000
Picture,75_PWPW_LF2_dictar.png,hit,2,7849,2,735493,1,7917,2,0,17000
Picture,76_PWPW_HF2_salud.png,hit,2,4281,2,748421,1,4409,2,0,17000
Picture,77_PWPW_LF2_fundar.png,hit,2,5601,2,757741,1,5712,2,0,17000
Picture,78_PWPW_HF2_salir.png,hit,2,3939,2,768363,1,4009,2,0,17000
Picture,79_CSCS_HF2_contar.png,hit,2,3639,2,777383,1,3707,2,0,17000
Picture,80_CSCS_LF2_compas.png,hit,2,3640,3,786101,1,3708,2,0,17000
Picture,82_RW_LowFRW_LF2_tapete.png,hit,1,11321,2,794820,1,11424,2,0,17000
Picture,83_PWPW_LF2_enredo.png,hit,2,5546,2,811155,1,5612,2,0,17000
Picture,84_PWPW_HF2_prensa.png,hit,2,7484,2,821777,1,7516,3,0,17000
Picture,85_CSCS_LF2_hocico.png,hit,2,3837,2,834304,1,3909,2,0,17000
Picture,86_PWPW_HF2_rojo.png,hit,2,4918,2,843223,1,5011,2,0,17000
Picture,87_RW_LowFRW_LF2_prior.png,incorrect,2,5935,3,853245,1,6013,2,0,17000
Picture,89_RW_HighFRW_HF2_salvar.png,hit,1,4912,3,864268,1,5011,2,0,17000
Picture,90_CSCS_HF2_blanco.png,hit,2,3871,3,874189,2,3909,3,0,17000
Picture,91_PWPW_LF2_capote.png,hit,2,5511,2,883109,1,5612,2,0,17000
Picture,92_RW_LowFRW_LF2_biceps.png,hit,1,5309,2,893631,1,5412,2,0,17000
Picture,93_RW_LowFRW_LF2_alcoba.png,incorrect,2,6507,2,903953,1,6614,2,0,17000
Picture,95_PWPW_HF2_ayuda.png,hit,2,4262,2,915478,1,4309,2,0,17000
Picture,96_RW_HighFRW_HF2_ingles.png,hit,1,4942,2,924798,1,5010,2,0,17000
Picture,97_PWPW_LF2_tercio.png,hit,2,3800,3,934819,1,3908,3,0,17000
Picture,98_RW_HighFRW_HF2_sombra.png,hit,1,6421,2,943638,1,6514,2,0,17000
Picture,99_CSCS_HF2_pensar.png,hit,2,3776,2,955163,1,3808,2,0,17000
