Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,2_RW_HighFRW_HF1_entrar.png,hit,1,36517,2,199448,1,17036,2,0,17000
Picture,5_PWPW_HF1_padre.png,hit,2,14368,2,241037,1,14431,2,0,17000
Picture,7_PWPW_LF1_vereda.png,hit,2,15647,2,260478,1,15734,2,0,17000
Picture,8_CSCS_HF1_ultimo.png,hit,2,9221,3,281223,1,9320,2,0,17000
Picture,9_RW_LowFRW_LF1_ceniza.png,hit,1,25711,2,295453,1,17037,2,0,17000
Picture,10_CSCS_HF1_unidad.png,hit,2,7345,2,326219,1,7416,2,0,17000
Picture,11_PWPW_LF1_vaciar.png,hit,2,8998,2,338646,1,9119,2,0,17000
Picture,12_RW_LowFRW_LF1_umbral.png,hit,1,8168,2,352676,1,8217,2,0,17000
Picture,13_CSCS_LF1_coyote.png,hit,2,7259,3,365904,1,7316,2,0,17000
Picture,15_PWPW_LF1_pavor.png,hit,2,10853,3,378230,1,10924,2,0,17000
Picture,19_PWPW_HF1_accion.png,hit,2,8918,2,394165,1,9019,2,0,17000
Picture,20_PWPW_LF1_hazana.png,hit,2,7229,2,408094,1,7316,2,0,17000
Picture,22_PWPW_HF1_pedido.png,hit,2,12742,2,420421,1,12827,2,0,17000
Picture,23_RW_LowFRW_LF1_ranura.png,hit,1,7304,2,438259,1,7416,2,0,17000
Picture,25_CSCS_LF1_utero.png,hit,2,5218,2,450585,1,5312,2,0,17000
Picture,26_CSCS_LF1_colcha.png,hit,2,4976,2,460907,1,5011,2,0,17000
Picture,27_PWPW_LF1_cuenca.png,hit,2,11673,2,470929,1,11725,2,0,17000
Picture,28_CSCS_LF1_nocion.png,hit,2,5497,2,487665,1,5612,2,0,17000
Picture,30_CSCS_HF1_marido.png,hit,2,6735,2,498187,1,6815,2,0,17000
Picture,31_PWPW_LF1_cuenco.png,incorrect,1,6350,3,510012,2,6414,3,0,17000
Picture,32_PWPW_HF1_partir.png,hit,2,5965,2,521437,1,6013,2,0,17000
Picture,33_RW_LowFRW_LF1_coyote.png,hit,1,6621,2,532461,1,6714,2,0,17000
Picture,34_RW_LowFRW_LF1_ceder.png,hit,1,8656,2,544186,1,8718,2,0,17000
Picture,35_PWPW_LF1_higos.png,hit,2,7486,3,557915,1,7616,2,0,17000
Picture,36_RW_LowFRW_LF1_torax.png,hit,1,6319,3,570442,1,6414,2,0,17000
Picture,37_PWPW_LF1_lucro.png,hit,2,13775,3,581866,1,13830,2,0,17000
Picture,38_RW_HighFRW_HF1_camino.png,hit,1,8614,2,600707,1,8718,2,0,17000
Picture,39_PWPW_HF1_llegar.png,hit,2,7625,2,614336,1,7716,2,0,17000
Picture,40_CSCS_LF1_pudor.png,hit,2,6658,2,627063,1,6714,2,0,17000
Picture,41_CSCS_LF1_astros.png,hit,2,6133,2,638788,1,6213,2,0,17000
Picture,43_CSCS_LF1_grueso.png,hit,2,6508,3,650012,1,6614,2,0,17000
Picture,44_PWPW_HF1_cocina.png,hit,2,11623,3,661537,1,11725,2,0,17000
Picture,45_PWPW_HF1_entrar.png,hit,2,8588,3,678172,1,8719,2,0,17000
Picture,46_PWPW_LF1_colmo.png,hit,2,6878,2,691802,1,6914,2,0,17000
Picture,47_RW_HighFRW_HF1_venido.png,hit,1,8073,2,703727,1,8118,2,0,17000
Picture,48_PWPW_LF1_lumbre.png,hit,2,7185,3,716855,2,7316,3,0,17000
Picture,49_RW_LowFRW_LF1_astros.png,hit,1,7039,2,729081,1,7116,2,0,17000
Picture,50_PWPW_HF1_llego.png,hit,2,6113,2,741207,1,6214,2,0,17000
Picture,51_PWPW_HF1_cuatro.png,hit,2,8428,3,752331,1,8518,2,0,17000
Picture,53_RW_HighFRW_HF1_color.png,hit,1,5379,2,765860,1,5412,2,0,17000
Picture,54_RW_HighFRW_HF1_avion.png,hit,1,7277,3,776282,2,7316,3,0,17000
Picture,55_CSCS_LF1_hachis.png,hit,2,4550,2,788609,1,4610,2,0,17000
Picture,56_PWPW_HF1_ultimo.png,hit,2,5410,2,798229,1,5512,2,0,17000
Picture,58_RW_LowFRW_LF1_lucro.png,hit,1,8987,2,808652,1,9119,2,0,17000
Picture,60_PWPW_HF1_ruido.png,hit,2,6477,2,822682,1,6514,2,0,17000
Picture,61_PWPW_HF1_perder.png,hit,2,7992,3,834206,1,8118,2,0,17000
Picture,64_RW_LowFRW_LF1_minero.png,hit,1,8884,3,847234,1,8919,2,0,17000
Picture,65_RW_HighFRW_HF1_ganar.png,hit,1,7754,3,861164,1,7817,2,0,17000
Picture,66_PWPW_HF1_venido.png,hit,2,6766,2,873992,1,6814,2,0,17000
Picture,67_PWPW_LF1_utero.png,hit,2,7501,2,885817,1,7616,2,0,17000
Picture,68_RW_HighFRW_HF1_cuatro.png,hit,1,5374,2,898344,1,5411,2,0,17000
Picture,69_RW_LowFRW_LF1_telon.png,hit,1,6872,2,908766,1,6915,2,0,17000
Picture,70_RW_HighFRW_HF1_tratar.png,hit,1,6385,3,920692,1,6514,2,0,17000
Picture,71_PWPW_LF1_astros.png,hit,2,6401,3,932116,1,6514,2,0,17000
Picture,72_RW_LowFRW_LF1_furor.png,hit,1,7617,4,943540,2,7717,3,0,17000
Picture,73_RW_LowFRW_LF1_grueso.png,hit,1,7069,3,956168,1,7115,2,0,17000
Picture,74_CSCS_LF1_lienzo.png,hit,2,5424,3,968293,2,5512,3,0,17000
Picture,75_RW_HighFRW_HF1_rato.png,hit,1,4981,2,978816,1,5111,2,0,17000
Picture,76_CSCS_LF1_obrero.png,hit,2,4160,3,988837,2,4209,4,0,17000
Picture,77_RW_LowFRW_LF1_cuenco.png,hit,1,6860,2,998057,1,6915,2,0,17000
Picture,78_CSCS_LF1_tejer.png,hit,2,4693,3,1009983,1,4810,2,0,17000
Picture,79_PWPW_LF1_furor.png,hit,2,7133,2,1019704,1,7215,2,0,17000
Picture,80_PWPW_HF1_puerto.png,hit,2,11786,3,1031930,1,11825,2,0,17000
Picture,81_CSCS_LF1_exigir.png,hit,2,4870,2,1048766,1,4910,2,0,17000
Picture,82_CSCS_LF1_censo.png,hit,2,4709,2,1058687,1,4810,2,0,17000
Picture,86_CSCS_HF1_valor.png,hit,2,5148,2,1068408,1,5211,2,0,17000
Picture,87_PWPW_LF1_juncos.png,hit,2,8206,2,1078630,1,8317,3,0,17000
Picture,88_PWPW_HF1_nombre.png,hit,2,7618,2,1091858,1,7717,2,0,17000
Picture,89_PWPW_HF1_unidad.png,hit,2,6111,2,1104485,1,6213,2,0,17000
Picture,90_RW_LowFRW_LF1_pudor.png,hit,1,7386,3,1115609,1,7516,2,0,17000
Picture,91_PWPW_HF1_color.png,hit,2,7920,3,1128035,1,8018,2,0,17000
Picture,92_RW_HighFRW_HF1_carcel.png,hit,1,4832,3,1140963,1,4911,2,0,17000
Picture,93_RW_HighFRW_HF1_cocina.png,hit,1,6351,2,1150884,1,6414,2,0,17000
Picture,94_RW_HighFRW_HF1_luchar.png,hit,1,5726,2,1162309,1,5812,2,0,17000
Picture,95_CSCS_HF1_carcel.png,hit,2,4663,2,1173132,1,4710,2,0,17000
Picture,98_PWPW_LF1_carmin.png,hit,2,7022,2,1182853,1,7115,2,0,17000
Picture,99_RW_HighFRW_HF1_cerca.png,hit,1,5136,2,1194979,1,5211,2,0,17000
Picture,101_PWPW_HF1_imagen.png,hit,2,7394,2,1205201,1,7516,2,0,17000
Picture,102_CSCS_HF1_ruido.png,hit,2,4807,3,1217627,1,4911,2,0,17000
Picture,103_PWPW_LF1_cordon.png,hit,2,9786,2,1227448,1,9821,2,0,17000
Picture,104_CSCS_LF1_clero.png,hit,2,4554,2,1242280,1,4610,2,0,17000
Picture,106_PWPW_HF1_leche.png,hit,2,7413,2,1251901,1,7516,2,0,17000
Picture,107_RW_LowFRW_LF1_chivo.png,hit,1,6667,2,1264327,1,6715,2,0,17000
Picture,108_RW_LowFRW_LF1_sequia.png,hit,1,6702,2,1276052,1,6815,2,0,17000
Picture,109_PWPW_HF1_ganar.png,incorrect,1,8097,2,1287777,1,8218,2,0,17000
Picture,112_RW_LowFRW_LF1_cogida.png,hit,1,6967,3,1300906,1,7015,2,0,17000
Picture,113_RW_HighFRW_HF1_veras.png,hit,1,7182,2,1312931,1,7216,2,0,17000
Picture,114_PWPW_LF1_copos.png,incorrect,1,9836,2,1325157,1,9922,2,0,17000
Picture,115_CSCS_HF1_accion.png,hit,2,4984,2,1340089,1,5111,2,0,17000
Picture,116_CSCS_HF1_feliz.png,hit,2,4802,2,1350111,1,4910,2,0,17000
Picture,118_PWPW_LF1_suegra.png,hit,2,7701,2,1359932,1,7817,2,0,17000
Picture,121_RW_HighFRW_HF1_calle.png,hit,1,6174,2,1372659,1,6213,2,0,17000
Picture,122_PWPW_LF1_reptil.png,hit,2,7909,3,1383883,1,8017,2,0,17000
Picture,123_RW_LowFRW_LF1_apice.png,hit,1,5781,3,1396811,1,5912,3,0,17000
Picture,124_PWPW_HF1_medida.png,hit,2,9838,2,1407634,1,9921,2,0,17000
Picture,125_RW_LowFRW_LF1_verja.png,hit,1,9706,2,1422566,1,9821,2,0,17000
Picture,127_RW_HighFRW_HF1_piensa.png,hit,1,6334,2,1437298,1,6413,2,0,17000
Picture,128_PWPW_LF1_marmol.png,hit,2,8350,2,1448722,1,8418,2,0,17000
Picture,129_RW_HighFRW_HF1_verdad.png,hit,1,7001,2,1462151,1,7115,2,0,17000
Picture,130_PWPW_HF1_siente.png,hit,2,8575,4,1474176,2,8619,3,0,17000
Picture,131_PWPW_HF1_llevar.png,hit,2,8306,2,1487806,1,8418,2,0,17000
Picture,132_PWPW_HF1_cambio.png,hit,2,7537,3,1501134,1,7616,3,0,17000
Picture,133_PWPW_LF1_coraza.png,incorrect,1,7070,2,1513761,1,7115,2,0,17000
Picture,134_PWPW_LF1_rasgo.png,hit,2,8304,2,1525887,1,8418,2,0,17000
Picture,136_RW_HighFRW_HF1_caer.png,hit,1,8975,2,1539216,1,9019,2,0,17000
Picture,137_RW_LowFRW_LF1_lienzo.png,hit,1,6625,2,1553246,1,6714,2,0,17000
Picture,138_PWPW_HF1_bailar.png,hit,2,6980,2,1564971,1,7015,2,0,17000
Picture,140_RW_HighFRW_HF1_nombre.png,hit,1,7433,3,1576997,1,7516,2,0,17000
Picture,141_PWPW_LF1_zombi.png,hit,2,6428,2,1589523,1,6514,2,0,17000
Picture,144_RW_LowFRW_LF1_pubis.png,hit,1,8102,3,1601048,1,8218,2,0,17000
Picture,145_PWPW_HF1_cuerpo.png,hit,2,8094,2,1614176,1,8218,2,0,17000
Picture,146_RW_HighFRW_HF1_negro.png,hit,1,14246,2,1627304,1,14331,2,0,17000
Picture,147_PWPW_HF1_rato.png,hit,2,6824,2,1646646,1,6914,3,0,17000
Picture,148_PWPW_LF1_cauce.png,hit,2,6898,3,1658571,1,7015,2,0,17000
Picture,149_PWPW_HF1_llevo.png,hit,2,8092,3,1670497,1,8217,2,0,17000
Picture,150_RW_LowFRW_LF1_azufre.png,hit,1,7364,3,1683625,1,7416,2,0,17000
Picture,151_RW_HighFRW_HF1_tomar.png,hit,1,6218,2,1696051,1,6314,2,0,17000
Picture,152_PWPW_HF1_jamas.png,hit,2,6034,3,1707275,2,6114,3,0,17000
Picture,153_CSCS_LF1_quicio.png,hit,2,5150,2,1718399,1,5211,3,0,17000
Picture,154_RW_LowFRW_LF1_suegra.png,hit,1,7488,2,1728621,1,7616,3,0,17000
Picture,155_CSCS_HF1_medida.png,hit,2,4961,2,1741148,1,5011,2,0,17000
Picture,156_RW_HighFRW_HF1_viejo.png,hit,1,5420,3,1751169,2,5512,3,0,17000
Picture,157_RW_HighFRW_HF1_futuro.png,hit,1,8656,3,1761692,1,8719,2,0,17000
Picture,158_PWPW_LF1_quicio.png,hit,2,7407,3,1775421,1,7516,3,0,17000
Picture,159_RW_LowFRW_LF1_rendir.png,incorrect,2,8100,3,1787848,1,8218,2,0,17000
Picture,160_RW_LowFRW_LF1_encias.png,hit,1,8172,2,1800976,1,8218,2,0,17000
Picture,162_RW_LowFRW_LF1_indole.png,hit,1,6704,2,1814204,1,6815,2,0,17000
Picture,163_RW_HighFRW_HF1_cabeza.png,hit,1,6418,2,1825930,1,6513,2,0,17000
