Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,2_CSCS_HF1_resto.png,hit,2,10266,3,137214,1,10422,2,0,17000
Picture,3_RW_HighFRW_HF1_vuelto.png,hit,1,9093,2,152547,1,9220,2,0,17000
Picture,4_CSCS_HF1_valor.png,hit,2,8323,2,166677,1,8518,2,0,17000
Picture,5_PWPW_HF1_vuelto.png,hit,2,17313,3,180006,1,17036,2,0,17000
Picture,6_RW_HighFRW_HF1_color.png,hit,1,11286,3,202353,1,11324,3,0,17000
Picture,7_RW_HighFRW_HF1_verdad.png,hit,1,7751,2,218688,1,7917,2,0,17000
Picture,8_CSCS_HF1_ambos.png,hit,2,6523,2,231516,1,6714,2,0,17000
Picture,9_PWPW_LF1_rendir.png,hit,2,14898,2,243141,1,15032,2,0,17000
Picture,10_RW_HighFRW_HF1_mitad.png,hit,1,10075,3,263083,1,10222,2,0,17000
Picture,11_CSCS_LF1_lumbre.png,hit,2,6943,4,278215,2,7116,3,0,17000
Picture,13_PWPW_LF1_alumna.png,hit,2,17397,2,290241,1,17037,2,0,17000
Picture,15_RW_LowFRW_LF1_oirse.png,hit,1,7349,2,312689,1,7416,2,0,17000
Picture,17_RW_HighFRW_HF1_negro.png,hit,1,10282,2,325116,1,10522,2,0,17000
Picture,19_RW_LowFRW_LF1_vejez.png,hit,1,9349,4,340448,2,9521,3,0,17000
Picture,20_RW_LowFRW_LF1_butaca.png,hit,1,7478,2,354879,1,7617,2,0,17000
Picture,21_RW_LowFRW_LF1_colcha.png,hit,1,10151,2,367406,1,10222,2,0,17000
Picture,22_RW_LowFRW_LF1_lienzo.png,hit,1,7318,2,382639,1,7416,2,0,17000
Picture,23_RW_LowFRW_LF1_coraza.png,hit,1,7552,2,394965,1,7717,2,0,17000
Picture,24_PWPW_HF1_perder.png,incorrect,1,7564,3,407592,1,7717,2,0,17000
Picture,25_PWPW_LF1_cactus.png,hit,2,13497,2,420219,1,13629,2,0,17000
