Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_PWPW_LF2_romero.png,hit,2,20834,3,164071,2,17037,3,0,17000
Picture,2_RW_LowFRW_LF2_mascar.png,hit,1,8258,2,189927,1,8318,2,0,17000
Picture,3_PWPW_LF2_gitana.png,hit,2,16610,2,203255,1,16736,2,0,17000
Picture,5_PWPW_LF2_desliz.png,hit,2,7682,3,224902,1,7716,2,0,17000
Picture,6_CSCS_HF2_blanco.png,hit,2,5435,2,237629,1,5511,3,0,17000
Picture,8_RW_LowFRW_LF2_enredo.png,incorrect,2,7873,2,248151,1,7917,2,0,17000
Picture,9_RW_LowFRW_LF2_utopia.png,hit,1,8225,2,261079,1,8318,2,0,17000
Picture,10_PWPW_HF2_camion.png,hit,2,7136,3,274407,1,7216,2,0,17000
Picture,11_RW_HighFRW_HF2_camara.png,hit,1,5150,3,286633,1,5212,2,0,17000
Picture,12_PWPW_LF2_cobro.png,hit,2,7168,3,296855,1,7216,2,0,17000
Picture,13_RW_LowFRW_LF2_sereno.png,hit,1,6142,2,309081,1,6214,2,0,17000
Picture,14_RW_HighFRW_HF2_salir.png,hit,1,4998,2,320305,1,5111,2,0,17000
Picture,15_RW_HighFRW_HF2_salvar.png,hit,1,4896,2,330327,1,5011,2,0,17000
Picture,16_PWPW_LF2_espiar.png,hit,2,8815,2,340248,1,8919,2,0,17000
Picture,17_PWPW_HF2_piel.png,hit,2,7225,2,354078,1,7315,2,0,17000
Picture,18_RW_LowFRW_LF2_elevar.png,hit,1,5778,3,366404,1,5812,2,0,17000
Picture,19_CSCS_HF2_llama.png,hit,2,6155,2,377227,1,6213,2,0,17000
Picture,20_RW_HighFRW_HF2_llama.png,hit,1,5891,2,388451,1,6013,2,0,17000
Picture,21_RW_HighFRW_HF2_sitio.png,hit,1,4568,2,399374,1,4610,2,0,17000
Picture,22_CSCS_HF2_noche.png,hit,2,4307,2,408995,1,4409,2,0,17000
Picture,23_PWPW_LF2_sereno.png,incorrect,1,4986,3,418315,1,5111,2,0,17000
Picture,24_CSCS_HF2_reloj.png,hit,2,5045,3,428336,1,5111,2,0,17000
Picture,25_RW_HighFRW_HF2_prensa.png,hit,1,5723,3,438458,1,5812,2,0,17000
Picture,27_RW_HighFRW_HF2_joven.png,hit,1,4900,2,449281,1,5011,2,0,17000
Picture,28_RW_HighFRW_HF2_jugar.png,hit,1,5219,2,459202,1,5312,2,0,17000
Picture,29_CSCS_HF2_viento.png,hit,2,4337,2,469524,1,4410,2,0,17000
Picture,30_CSCS_LF2_optar.png,hit,2,5237,3,478944,2,5312,3,0,17000
Picture,31_RW_LowFRW_LF2_hocico.png,incorrect,2,7634,2,489267,1,7716,2,0,17000
Picture,32_CSCS_HF2_conoce.png,hit,2,5066,3,501994,1,5111,2,0,17000
Picture,33_PWPW_HF2_ayuda.png,hit,2,7505,2,512115,1,7617,2,0,17000
Picture,34_RW_HighFRW_HF2_detras.png,hit,1,6258,2,524642,1,6314,2,0,17000
Picture,35_CSCS_HF2_quedar.png,hit,2,4854,2,535966,1,4911,2,0,17000
Picture,36_RW_LowFRW_LF2_alcoba.png,hit,1,7492,2,545888,1,7616,2,0,17000
Picture,38_CSCS_HF2_salud.png,hit,2,4486,2,558414,1,4610,2,0,17000
Picture,39_RW_HighFRW_HF2_nino.png,hit,1,4564,3,567935,1,4610,2,0,17000
Picture,40_PWPW_LF2_hocico.png,hit,2,8944,2,577555,1,9020,2,0,17000
Picture,41_RW_HighFRW_HF2_pelear.png,hit,1,5314,2,591585,1,5412,2,0,17000
Picture,42_RW_HighFRW_HF2_sangre.png,hit,1,5232,2,601907,1,5312,2,0,17000
Picture,45_PWPW_HF2_comida.png,hit,2,8430,2,612229,1,8519,2,0,17000
Picture,48_PWPW_LF2_lances.png,hit,2,8180,3,625758,1,8218,2,0,17000
Picture,49_RW_HighFRW_HF2_cuenta.png,hit,1,5111,3,638987,1,5211,2,0,17000
Picture,50_RW_LowFRW_LF2_cobijo.png,incorrect,2,5230,2,649108,1,5312,2,0,17000
Picture,51_RW_LowFRW_LF2_menton.png,hit,1,6668,2,659430,1,6715,2,0,17000
Picture,52_CSCS_LF2_prior.png,hit,2,4943,2,671155,1,5011,2,0,17000
Picture,53_RW_LowFRW_LF2_romero.png,hit,1,6361,2,681177,1,6414,2,0,17000
Picture,54_PWPW_HF2_evitar.png,hit,2,7497,2,692601,1,7617,2,0,17000
Picture,55_PWPW_LF2_antojo.png,hit,2,8330,2,705128,1,8418,2,0,17000
Picture,56_RW_HighFRW_HF2_ciudad.png,hit,1,4980,2,718557,1,5111,2,0,17000
Picture,57_RW_LowFRW_LF2_desliz.png,hit,1,8079,2,728578,1,8117,3,0,17000
Picture,58_PWPW_LF2_puas.png,hit,2,5431,2,741706,1,5512,2,0,17000
Picture,59_CSCS_LF2_alcoba.png,hit,2,4748,2,752229,1,4810,2,0,17000
Picture,60_CSCS_HF2_evitar.png,hit,2,4127,2,762050,1,4209,2,0,17000
Picture,61_RW_LowFRW_LF2_clamor.png,hit,1,8588,2,771269,1,8719,2,0,17000
Picture,62_RW_LowFRW_LF2_yanqui.png,hit,1,7437,2,784899,1,7516,2,0,17000
Picture,64_PWPW_LF2_tercio.png,hit,2,8431,2,797425,1,8518,3,0,17000
Picture,65_CSCS_HF2_pensar.png,hit,2,5222,2,810954,1,5312,2,0,17000
Picture,66_RW_HighFRW_HF2_juego.png,hit,1,5140,2,821276,1,5211,2,0,17000
Picture,67_RW_LowFRW_LF2_azote.png,hit,1,5718,2,831498,1,5813,2,0,17000
Picture,68_PWPW_LF2_menton.png,incorrect,1,5215,2,842321,1,5312,2,0,17000
Picture,69_RW_LowFRW_LF2_optar.png,hit,1,5872,3,852543,1,5913,2,0,17000
Picture,70_RW_LowFRW_LF2_corral.png,hit,1,6629,3,863466,2,6715,3,0,17000
Picture,71_RW_LowFRW_LF2_naipes.png,hit,1,7463,2,875192,1,7516,2,0,17000
Picture,73_PWPW_LF2_cobijo.png,hit,2,6937,2,887718,1,7015,2,0,17000
Picture,74_PWPW_LF2_capote.png,hit,2,8991,2,899744,1,9119,3,0,17000
